"lfp","k5","k618","age","wc","hc","lwg","inc"
"yes",0,3,45,"yes","yes",-0.9606265,23.6749992
"yes",1,2,30,"no","yes",0.9852834,15.5100002
"no",0,0,53,"no","no",0.8861951,21.5739994
"yes",0,1,39,"no","yes",0.7529984,18.8570004
"yes",0,1,31,"no","no",1.1516048,14.6000004
"no",0,2,43,"no","no",1.016928,27.0919991
"no",0,0,55,"no","no",1.0394524,13.0719995
"yes",0,0,50,"no","no",0.0896122,24.5
"no",0,1,49,"no","no",0.3405683,11
"yes",0,0,49,"no","yes",1.4064971,16.1499996
"no",1,1,33,"no","no",0.9239924,9.4499998
"no",0,0,55,"no","no",0.7888429,28.6000004
"no",1,1,47,"no","no",0.3780428,21.7999992
"yes",0,2,32,"no","no",0.9555114,12
"yes",0,2,57,"no","no",3.155581,24.3990002
"yes",0,0,52,"no","no",1.3017371,26.7519989
"no",0,2,42,"no","no",0.5254625,18.3999996
"yes",0,0,46,"yes","yes",1.5179226,44
"no",1,2,45,"no","no",0.7503316,10.0900002
"no",0,2,41,"yes","no",1.1738135,22.5820007
"no",0,2,36,"no","no",0.778245,9.0900002
"no",1,1,31,"no","yes",0.9095345,19.0219994
"yes",0,1,31,"yes","no",1.0185697,9.4659996
"no",3,1,31,"yes","yes",0.9606535,73.5999985
"no",0,3,38,"no","yes",1.0098952,21.9430008
"yes",0,0,58,"no","no",1.6418628,12.1499996
"no",1,1,36,"no","no",0.9779658,16.7000008
"no",2,2,30,"no","no",0.8180865,35
"yes",0,1,43,"no","yes",1.3028187,24.6310005
"no",1,1,31,"no","yes",1.1246393,4
"yes",0,0,47,"no","no",1.2998388,18.7600002
"yes",0,4,43,"no","no",1.2628131,15.0500011
"no",1,1,30,"no","yes",0.9097289,24.3500004
"yes",0,3,45,"yes","yes",1.3367952,16.7339993
"yes",0,2,35,"yes","no",1.8289676,-0.029
"no",2,1,30,"no","no",0.4883839,16.2000008
"no",1,0,48,"no","no",1.159844,20.9680004
"no",2,2,35,"yes","yes",1.028466,36
"yes",0,0,50,"no","no",0.4307832,5.1189995
"yes",0,3,32,"no","yes",1.5532677,17
"no",1,1,30,"yes","yes",1.0665239,26.0400009
"yes",0,2,36,"no","no",1.5532677,27.8719997
"no",2,1,31,"yes","yes",1.4016421,23
"yes",0,0,49,"no","yes",1.5885466,53.5
"yes",0,2,40,"no","no",0.9332882,7.7890005
"no",1,2,31,"no","no",0.5734462,10.1899996
"yes",0,4,40,"no","no",0.8602011,16.1650009
"yes",1,2,33,"no","yes",0.114816,30.2349987
"no",1,1,34,"no","no",0.9444474,13.6999998
"yes",0,1,32,"yes","yes",2.3271625,17.7999916
"no",0,2,36,"no","no",0.9234089,37.7519989
"yes",0,0,48,"no","no",0.9698421,4.8110003
"yes",0,2,36,"yes","yes",1.7666236,13.5999994
"no",0,0,57,"no","no",1.0061998,12.9250002
"no",2,1,36,"no","no",0.7666139,15
"no",0,0,59,"no","no",0.8670031,32.2420006
"yes",1,5,41,"no","yes",2.2958679,18.2719994
"yes",0,3,47,"no","yes",1.1728821,20.8859997
"no",0,0,52,"no","no",0.3121657,23
"no",0,2,36,"no","no",0.8895015,5.3299999
"yes",0,0,45,"yes","no",1.2669476,13.8000002
"yes",0,2,40,"no","no",1.4759065,17.8999996
"no",0,5,43,"no","yes",0.942697,21.823
"yes",0,1,40,"no","no",1.5131067,32.9000015
"yes",0,1,34,"no","yes",0.1479199,14
"yes",0,0,40,"yes","yes",3.0647252,32
"no",1,1,43,"no","no",1.2595463,13.0749998
"no",0,0,53,"no","no",0.2062952,10.6999998
"yes",0,0,49,"no","no",-0.6931472,14.7489996
"no",0,0,51,"no","no",1.2712399,8.1169996
"no",0,0,49,"no","no",0.8514767,18.1499996
"no",0,2,46,"no","no",1.1217219,18.2999992
"no",0,0,56,"no","no",0.974076,30.2000008
"yes",0,1,36,"no","no",1.8844231,11.1000004
"yes",1,2,36,"no","no",-2.0541239,11.1999998
"no",2,2,30,"no","yes",0.8188999,10.0270004
"no",0,1,49,"no","no",1.0130683,13.3990002
"no",0,2,40,"yes","yes",1.0828638,28.2000008
"yes",0,1,38,"no","no",1.2970634,6.4999995
"no",0,2,43,"no","yes",1.1223054,29.7999992
"no",1,1,30,"no","yes",0.9791328,22
"no",0,2,45,"no","yes",1.1902683,37.2999992
"yes",0,1,31,"no","no",1.0315291,7.7999997
"yes",0,3,42,"no","no",0.5590276,17.210001
"yes",0,1,50,"no","no",1.0736742,17.6949997
"no",0,0,30,"no","yes",0.9097289,14.6940002
"yes",0,1,44,"no","no",1.6971768,18.8999996
"yes",0,0,48,"no","no",1.5659528,30.75
"yes",0,1,34,"no","no",1.1546267,12.8450012
"no",0,1,48,"no","no",0.6948762,22
"yes",0,2,40,"no","no",3.2188759,21.2199993
"no",0,3,30,"no","no",0.7794119,12
"yes",0,0,34,"no","no",1.0647107,7.7999997
"no",0,0,57,"no","no",-0.0058346,6.3400002
"yes",0,0,51,"yes","yes",2.0310118,31.8110008
"yes",0,1,49,"no","no",1.0986123,44
"no",0,1,34,"no","yes",0.4213425,7.04
"yes",0,2,37,"yes","yes",1.6164626,27.2999992
"yes",0,1,48,"no","no",1.892005,21
"yes",0,3,34,"yes","yes",0.2231435,21.2000008
"no",0,1,41,"no","yes",1.1226944,63.5
"no",0,0,53,"no","yes",1.1203605,27.7600002
"no",0,3,44,"no","no",0.8524491,13.1260004
"yes",0,0,46,"yes","yes",2.606698,17.4999962
"no",0,2,54,"no","yes",1.1885178,22.6100006
"no",2,3,31,"no","no",1.1580402,10
"yes",0,0,30,"no","yes",0.2231435,8.2370005
"yes",0,3,37,"no","no",0.636137,12.7089996
"yes",0,0,32,"no","yes",1.1436096,18.5
"yes",0,0,52,"yes","no",1.926825,18.3000011
"no",0,0,49,"no","no",0.7900099,15
"no",0,2,52,"yes","yes",1.5904157,23.6749992
"no",1,0,36,"yes","yes",1.3864363,21.7679996
"no",0,1,53,"no","no",1.3169782,17.5049992
"no",0,0,45,"no","no",0.7362309,21.9500008
"no",0,4,36,"no","yes",0.9779658,24.3999996
"no",2,0,38,"yes","no",1.7576321,18.6000004
"yes",0,1,45,"yes","yes",0.6931472,30.5
"yes",0,5,36,"no","no",0.8380113,18.2000008
"no",0,0,44,"yes","no",1.0425979,23.7000008
"no",1,2,41,"yes","yes",1.0431813,27
"yes",0,0,31,"yes","yes",1.3971641,12.5
"yes",1,1,31,"no","no",0.7675475,8.2749996
"no",1,2,36,"no","yes",0.8714765,17.0450001
"yes",0,0,50,"no","no",-0.1505728,12.085
"no",0,5,38,"yes","yes",0.8978252,28.2000008
"no",0,1,49,"no","yes",0.868948,21.0249996
"yes",0,1,47,"no","no",1.7297242,25.6999989
"no",0,0,54,"no","no",1.1201659,20.9500008
"yes",0,0,30,"yes","yes",2.3644607,17.7999973
"yes",0,1,38,"no","yes",1.3915043,14.7819996
"no",0,0,54,"no","no",1.1201659,35
"yes",1,3,35,"no","no",1.5141279,12.039999
"yes",0,2,51,"no","no",1.3318062,38
"yes",0,2,46,"no","no",1.0986123,16
"no",0,3,35,"no","no",0.5554565,10.8669996
"yes",0,3,36,"no","no",1.4064971,14.499999
"no",0,0,60,"no","no",1.0930369,15.3000002
"no",1,3,33,"no","yes",0.7931218,15
"yes",0,3,38,"no","no",0.9571128,10.499999
"yes",0,0,51,"no","no",1.3997173,10.500001
"yes",0,2,39,"no","no",0.76214,12.3870001
"yes",0,0,47,"no","no",1.2702223,26.0900002
"yes",0,4,36,"yes","yes",2.1580038,21.3719997
"yes",0,2,34,"no","no",1.1935015,19.2049999
"yes",0,3,33,"yes","yes",0.3285041,21
"yes",0,1,30,"no","no",1.4064971,16
"no",0,1,37,"no","no",0.1826694,22.1590004
"no",0,0,49,"no","no",1.2357149,15.5
"yes",0,0,38,"no","no",2.0838959,17.2010002
"no",1,1,34,"no","yes",0.908951,24.7010002
"yes",0,2,32,"yes","yes",0.9146253,19.7000008
"no",1,4,41,"no","no",1.1698513,7.0500002
"yes",1,0,43,"yes","yes",1.0498221,14.3999996
"no",0,3,47,"yes","yes",1.2194966,19
"yes",0,0,47,"no","yes",0.901402,20.7000008
"no",0,0,49,"no","no",0.7757166,8
"no",0,4,50,"no","no",1.145317,31
"yes",0,3,40,"yes","yes",2.0018072,15.9000006
"no",0,2,54,"no","no",1.2706565,14.4499998
"yes",0,2,43,"no","no",0.7550228,13.1189995
"no",0,1,36,"no","no",0.6935631,13.3999996
"no",2,0,35,"no","yes",1.0978992,17.2000008
"yes",0,4,34,"no","no",0.4700036,20.6599998
"yes",0,5,39,"no","no",1.6438394,15.8389997
"yes",0,2,48,"no","no",1.5123762,19.9939995
"no",1,1,30,"yes","yes",1.4018365,25.7000008
"yes",0,2,44,"no","yes",1.5683184,18.2389984
"no",0,4,41,"no","yes",0.8318294,35.9099998
"yes",0,0,59,"yes","yes",0.8997613,16.75
"no",0,0,57,"yes","yes",1.5163242,57
"yes",1,3,38,"yes","yes",1.299283,91
"no",0,1,44,"no","no",0.9764099,20.2999992
"yes",0,3,36,"yes","yes",0.5263296,32
"no",1,1,32,"yes","yes",1.1506077,50.2999992
"no",0,1,50,"no","no",0.9058391,29.3999996
"yes",0,1,46,"yes","yes",1.6586282,45.75
"yes",0,1,43,"no","no",0.5401976,24.9279995
"yes",0,2,42,"yes","yes",1.2542453,22.6549988
"yes",2,2,32,"yes","yes",0,13.665
"no",0,1,51,"no","no",1.0053312,10.8760004
"no",0,0,52,"no","no",1.2927774,20.177
"yes",0,4,39,"no","no",1.2417133,16
"no",0,0,54,"no","no",0.8151277,13
"yes",0,0,33,"no","yes",1.7449915,11.9000006
"no",1,0,34,"no","no",0.8718655,17.5
"yes",0,1,48,"yes","yes",2.472122,17.574995
"no",1,2,43,"no","no",1.0142353,17.3999996
"no",1,2,30,"no","yes",0.9452254,20.5
"yes",0,0,34,"yes","yes",2.0845456,20.7999992
"no",0,0,51,"no","no",1.3194934,14
"yes",0,0,47,"yes","yes",1.3751566,46
"yes",0,1,47,"no","no",1.1987233,14.6999998
"no",0,4,44,"no","yes",1.2280854,18.8500004
"yes",0,1,51,"no","no",1.2729658,17.0999985
"no",0,1,53,"no","no",1.1447335,23.4260006
"no",0,1,45,"no","no",0.8697261,42.7999992
"no",0,2,40,"no","yes",0.8376045,22.2250004
"no",0,1,44,"no","no",0.8281056,15.5500002
"no",0,0,48,"no","no",0.3129436,14.3999996
"no",1,3,51,"no","no",0.2066842,44.987999
"yes",0,0,46,"no","yes",1.1661358,17.4019985
"no",0,0,46,"no","no",0.9421135,23.2600002
"yes",0,0,46,"no","no",0.4700036,9.8999996
"no",0,0,47,"no","no",1.2937499,21.1000004
"yes",0,2,43,"yes","no",1.7694349,21.6400013
"no",0,0,47,"no","no",0.8275221,12.6459999
"yes",0,0,54,"yes","yes",1.1123673,6.4910016
"yes",0,0,55,"no","no",1.5620917,16.3500004
"yes",0,0,41,"no","no",1.075344,9.6199999
"yes",0,0,52,"no","no",1.2039727,6.25
"yes",1,2,31,"yes","no",1.5242802,20.1000004
"no",1,1,31,"no","yes",1.0112566,14
"yes",0,4,35,"no","no",2.0219276,10.3000002
"yes",0,2,48,"no","no",1.5448993,9
"no",0,0,44,"no","no",0.5142181,18.8999996
"no",0,3,33,"no","no",0.7277094,19.8759995
"yes",0,2,30,"no","no",0.3285041,19.5
"no",0,0,48,"yes","yes",1.0267509,26.6130009
"yes",0,3,41,"no","no",1.1239301,21.217001
"yes",0,3,35,"yes","yes",1.2701128,34
"no",0,0,51,"no","no",1.0270631,7.6079998
"yes",0,0,49,"no","yes",1.0584848,21.5
"no",0,2,38,"no","no",1.2308719,16.6819992
"no",0,1,54,"no","yes",0.7747441,16.1499996
"yes",0,0,55,"no","no",1.6486586,17.3239994
"yes",0,0,57,"no","no",1.3659317,22
"yes",0,2,43,"no","yes",1.4789581,10.8999996
"no",0,3,35,"no","no",0.6727635,12.3669996
"no",0,2,41,"no","no",1.2186279,12.3999996
"no",1,1,43,"yes","yes",1.2793989,27.8500004
"no",0,2,52,"no","yes",1.0670418,17.0799999
"no",0,0,56,"no","no",0.6829725,22.1499996
"yes",0,1,47,"yes","yes",1.4105872,41.3999977
"yes",0,1,46,"yes","yes",1.7105405,19.2980003
"no",0,1,56,"no","no",0.8501152,16.073
"yes",0,3,37,"no","no",0.6792445,9.999999
"yes",2,0,33,"no","no",0.5108258,17.0900002
"yes",1,2,40,"yes","yes",0.5753643,25.0900002
"yes",0,2,43,"yes","yes",2.0349898,19.3099995
"yes",0,3,37,"no","no",1.0906444,9
"yes",1,2,33,"no","yes",1.2039727,20.7199993
"yes",0,0,54,"no","no",2.0596387,10.9000006
"yes",0,0,52,"no","no",0.5369517,3.6710005
"yes",0,3,33,"no","yes",-0.409162,17.1000004
"yes",0,0,50,"no","yes",0.1839228,14.5
"yes",0,3,46,"no","no",1.7602607,43
"no",0,1,48,"yes","yes",1.5263186,22.2999992
"no",1,1,34,"no","no",1.0697975,30.2999992
"yes",0,0,56,"no","no",0.8649974,6.3000002
"yes",0,1,46,"yes","yes",1.4433111,10
"yes",0,0,46,"no","no",0.9942524,1.1999998
"yes",1,3,33,"no","yes",0.9162908,43
"yes",0,0,51,"yes","yes",1.7147983,38.4000015
"no",1,2,35,"yes","yes",1.4639117,28.4500008
"yes",0,1,44,"no","no",1.2241757,17.6689987
"no",0,0,42,"no","no",0.5532817,10
"yes",0,2,37,"yes","no",2.1202636,9.1520004
"yes",0,0,55,"yes","yes",1.5040774,14.3000002
"yes",0,0,59,"no","yes",1.3862944,16
"no",1,1,32,"no","yes",1.0417913,11.5500002
"no",0,5,47,"no","no",1.1141275,5.5500002
"no",0,0,56,"no","no",1.3053159,18.7999992
"yes",0,1,47,"no","no",0.9416087,20.8500004
"no",1,1,42,"no","no",0.7739376,11.2030001
"no",1,1,31,"no","no",0.6473786,7.7199998
"yes",0,1,32,"no","yes",1.6267294,17.3999996
"no",0,1,46,"no","no",1.0179641,16.2399998
"no",1,3,47,"yes","yes",1.7558817,19.7299995
"no",0,0,38,"no","no",0.8379935,16.7880001
"yes",0,1,32,"no","no",0.5108258,15.0500002
"yes",0,0,43,"yes","yes",1.236917,19.7210007
"no",0,0,45,"no","no",0.5651426,30
"yes",0,1,47,"yes","no",1.5686159,28.5019989
"yes",0,3,35,"no","no",1.0779932,7.1759992
"no",0,1,46,"no","no",1.1217219,29.5529995
"yes",0,1,32,"no","yes",0.8109302,25.6000004
"no",1,3,41,"yes","yes",0.9483608,30.7999992
"yes",0,0,54,"no","yes",0.5596158,34.8569984
"yes",0,3,35,"no","no",0.5753643,12.5
"no",1,3,35,"no","no",0.9087565,24
"yes",0,2,44,"yes","yes",-1.7664415,9
"no",0,0,60,"no","no",0.9208875,18.5
"no",2,0,30,"yes","yes",1.4018365,23.6000004
"yes",0,3,34,"no","no",0.0921151,6.8000002
"yes",1,0,33,"no","no",1.2909843,11.7999992
"no",0,0,33,"yes","yes",1.4934409,24
"yes",1,2,31,"no","no",0.6161863,15.5
"no",1,3,38,"yes","no",0.9767634,32.6850014
"yes",0,0,47,"yes","no",2.2885988,22
"yes",0,2,34,"yes","no",0.8472977,12.3000002
"yes",0,0,52,"yes","yes",2.3474667,16.6999931
"no",0,0,57,"no","yes",1.3051213,18.7999992
"no",0,1,48,"no","no",0.9756319,20.2999992
"yes",0,0,51,"no","no",0.4863622,2.1339998
"yes",0,2,41,"no","no",1.3573829,15.6000004
"no",1,4,42,"no","no",0.6311384,15.9799995
"yes",0,1,37,"no","yes",0.9770272,34.5
"yes",0,0,46,"yes","no",0.7487171,7.79
"yes",0,2,35,"yes","no",1.6046872,5.1200004
"yes",0,3,32,"no","yes",0,39.2130013
"yes",0,0,59,"yes","yes",1.1298648,10.5
"yes",0,1,33,"no","no",1.2264457,24
"no",0,2,38,"yes","yes",1.4720492,37.25
"no",0,0,56,"no","no",1.0806476,8.3000002
"yes",0,1,43,"no","no",1.3694872,11.8439999
"yes",2,2,38,"yes","no",1.6282244,18.4300003
"yes",0,2,36,"yes","no",1.9120456,26.5
"yes",0,2,46,"no","no",0.9162908,12.3999996
"no",1,0,31,"no","no",0.8549775,12.092
"no",0,0,50,"no","no",0.7898154,11.2250004
"no",0,1,45,"no","yes",1.1690733,21.7000008
"no",0,2,36,"no","no",1.0977048,22.8460007
"no",1,1,32,"no","no",1.0709316,14.5
"yes",0,3,37,"no","yes",0.7280345,10.3999996
"yes",1,3,36,"no","no",1.5009363,10.6999998
"no",1,2,34,"yes","yes",1.3615706,96
"yes",0,1,45,"no","yes",1.332389,29.7000008
"no",1,3,37,"no","yes",0.8064445,17.4099998
"yes",0,2,34,"yes","yes",0.8843079,26
"yes",0,1,38,"yes","no",2.14398,21.2999992
"yes",0,0,52,"no","no",1.2503659,10.3999996
"yes",0,1,33,"no","no",1.4019157,24.3000011
"yes",0,1,41,"no","no",0.895445,28.9810009
"no",0,1,47,"no","no",0.8306625,18.2000008
"yes",1,2,36,"no","no",0.4953217,9.1749992
"no",0,3,38,"no","no",0.5365883,7.5739999
"yes",0,0,49,"no","yes",1.4105872,13.5
"yes",0,0,52,"no","no",0.4700036,9.5
"yes",1,2,36,"no","no",0.4855078,5.3150001
"no",1,3,32,"no","yes",0.9448364,47.5
"no",0,1,50,"no","no",0.8550351,8.3999996
"yes",0,3,43,"no","yes",1.6851965,29.1170006
"no",0,2,32,"no","no",0.9448364,11
"yes",0,0,52,"yes","no",1.1804423,17.6599998
"yes",0,0,54,"no","no",1.5564855,9.8590002
"yes",0,3,43,"no","no",1.3764663,13.8720007
"yes",0,2,44,"no","no",0.7907302,13.6020002
"no",0,2,36,"no","yes",0.9234089,6
"yes",0,2,34,"no","no",0.9872699,3.8999991
"no",2,3,34,"no","no",1.0694989,5
"no",0,0,54,"yes","yes",1.3315178,33.855999
"no",0,3,47,"no","no",0.8518656,28.2000008
"yes",1,2,39,"yes","no",-1.5432981,16.1200008
"no",0,0,56,"yes","no",1.4368049,7.6999998
"no",3,3,37,"yes","yes",0.994983,13.4399996
"yes",0,0,55,"yes","yes",1.5258496,19.3849983
"no",1,1,36,"no","yes",0.4209535,20.5279999
"no",2,0,33,"no","no",1.0415969,18.5200005
"yes",0,1,45,"yes","yes",1.7101794,13
"yes",0,1,30,"no","no",1.1960874,15.5909996
"no",1,3,39,"no","yes",1.1914352,24.7600002
"yes",2,1,30,"yes","yes",0.7985076,13.6999998
"no",3,0,31,"yes","yes",1.2959661,51.2000008
"no",1,2,32,"no","no",0.7790229,7.2859998
"yes",0,0,52,"no","no",0.6292341,7.9999995
"yes",0,1,39,"no","no",1.4375876,23.6680012
"yes",0,0,47,"no","no",1.1673195,29.3099995
"yes",0,3,40,"yes","yes",1.4816046,28.5
