passed,study_hours,attendance,assignment,gender
1,5.0,96.8,9,male
1,3.7,85.5,9,female
0,8.6,58.3,4,female
1,8.2,65.3,5,female
0,3.8,78.7,4,male
0,2.5,77.8,2,male
0,2.8,65.6,5,male
0,7.9,93.3,1,male
1,8.7,99.7,8,female
1,7.2,88.4,8,male
1,1.9,75.7,5,male
0,1.1,97.5,2,male
1,9.2,86.2,5,female
0,8.3,70.1,5,male
0,5.9,78.9,1,female
1,9.5,89.8,1,female
0,3.6,68.7,8,male
0,2.3,78.0,2,male
0,8.3,94.2,4,female
0,1.3,85.8,7,male
1,4.5,93.2,6,female
1,5.2,81.6,4,male
1,9.6,91.6,1,female
0,1.1,66.2,10,male
0,5.3,86.0,3,male
0,1.3,90.8,6,male
0,5.5,82.4,9,female
0,6.1,74.4,10,male
0,1.7,76.9,7,male
1,8.6,57.2,5,female
1,9.4,98.6,10,male
0,1.2,93.5,7,female
0,8.8,75.1,1,male
1,8.5,92.3,3,female
0,5.7,77.0,7,male
1,1.4,65.7,10,male
0,2.8,78.4,10,male
0,2.8,81.6,7,female
1,8.6,82.1,8,female
1,9.6,92.0,1,female
0,5.4,64.9,4,male
0,1.4,56.6,7,female
0,3.1,69.3,6,female
0,1.8,84.8,2,female
0,8.8,92.3,4,male
0,5.0,61.4,6,male
0,1.4,97.0,2,female
0,7.1,63.8,6,female
0,4.3,97.6,3,male
1,6.8,80.0,6,male
0,5.6,70.0,4,male
0,5.0,73.9,1,male
0,5.3,64.0,8,female
0,1.6,69.2,4,female
0,1.6,56.8,8,female
0,1.7,98.3,5,female
0,2.7,94.1,3,female
0,7.2,73.2,8,female
0,1.7,83.0,9,female
1,9.2,86.4,8,female
0,1.0,85.4,6,female
0,3.5,84.8,7,female
1,8.9,93.3,10,male
1,4.8,99.2,9,male
0,3.7,56.7,10,male
1,2.8,89.0,10,female
0,6.5,89.1,8,male
0,9.4,77.1,5,female
0,6.6,84.8,8,female
0,6.5,84.3,8,male
0,7.8,82.8,6,male
0,7.0,67.1,6,male
0,3.9,91.2,6,female
1,8.7,60.5,2,female
0,4.2,76.0,7,female
1,9.9,55.4,9,female
0,3.9,72.2,10,male
0,1.1,90.1,8,female
1,9.4,96.4,5,male
0,4.5,71.1,9,male
1,9.5,79.0,7,female
0,6.5,55.1,6,female
0,5.4,55.6,4,male
1,9.1,65.5,3,female
0,4.6,57.2,2,male
1,9.1,64.9,5,female
1,5.6,91.2,4,female
0,2.5,55.3,8,male
1,5.8,66.8,3,female
0,6.8,96.9,6,female
0,3.3,64.2,1,male
0,4.5,67.4,5,male
1,7.4,94.7,1,male
0,4.6,78.9,8,male
0,2.4,95.4,8,male
1,9.0,93.4,2,female
0,4.2,56.9,4,female
1,8.2,86.2,3,male
1,4.1,100.0,10,female
1,6.3,74.7,1,male
0,2.1,94.2,8,male
1,9.2,69.0,2,female
0,9.0,63.1,8,female
1,8.3,70.3,3,female
1,8.4,79.2,6,female
0,2.6,65.0,3,female
0,3.5,92.4,1,male
0,1.9,75.0,5,female
1,9.1,70.3,10,male
0,5.1,72.8,9,female
1,7.7,94.4,1,male
0,1.0,83.4,8,female
0,7.4,59.2,6,male
1,6.3,72.6,2,male
0,2.1,70.7,6,female
0,1.6,74.9,8,male
0,4.9,67.0,7,male
0,4.4,87.0,4,male
1,1.7,74.1,7,female
1,4.2,95.0,7,male
0,2.6,82.2,10,male
1,5.9,87.9,6,male
0,3.7,71.0,4,female
1,8.3,68.5,4,male
1,6.8,67.2,6,male
0,6.7,65.3,8,male
0,4.1,75.8,9,male
1,6.1,85.4,1,female
1,9.8,76.7,7,male
0,4.9,99.3,6,female
0,8.9,96.5,5,male
0,9.2,69.2,4,female
0,1.5,62.5,7,male
0,6.5,97.0,1,male
0,5.7,59.6,3,female
1,4.9,91.1,1,male
0,7.9,55.6,2,male
0,7.8,63.9,8,male
0,8.4,71.7,2,female
0,4.1,72.8,3,male
1,9.7,63.8,6,female
1,9.1,88.4,3,male
0,8.7,84.0,2,female
0,3.7,80.8,10,male
0,2.4,95.6,1,female
0,8.0,96.2,1,male
0,5.1,60.2,4,male
0,9.0,94.8,3,male
1,5.8,81.1,9,female
1,7.1,95.5,9,female
0,1.6,90.1,3,female
1,5.0,58.2,2,male
1,7.4,87.7,8,female
1,7.6,68.1,10,female
1,4.3,79.3,9,male
1,7.6,95.2,4,female
1,7.9,71.5,8,male
0,6.1,79.1,5,female
0,8.0,98.1,2,female
1,3.9,77.5,5,male
0,9.4,91.7,2,female
0,1.6,70.6,2,female
1,9.3,74.9,2,female
0,2.9,60.5,3,female
1,4.6,72.8,5,male
0,5.0,58.8,10,female
0,1.7,76.6,9,female
0,4.0,82.3,6,female
1,6.4,98.0,6,female
0,8.1,84.6,4,female
1,5.4,67.3,8,female
0,1.9,60.3,5,male
1,7.6,97.3,7,female
0,2.6,64.4,2,female
0,3.5,55.8,4,male
0,10.0,63.1,7,female
1,3.2,60.6,8,female
0,6.1,89.5,6,male
0,9.8,65.4,3,male
1,6.0,83.3,5,female
0,3.1,80.7,6,female
1,8.9,56.6,3,female
1,5.3,84.9,4,male
0,6.3,97.7,2,male
0,7.1,62.0,4,male
1,7.3,65.2,8,male
1,7.3,80.9,6,male
1,8.4,82.7,3,male
0,6.9,98.7,2,female
0,5.8,99.3,3,female
1,8.0,96.4,9,female
0,5.6,87.8,10,male
0,8.9,74.5,1,female
1,8.5,95.7,5,female
1,6.9,85.6,6,male
1,9.1,88.3,9,female
0,8.1,60.1,8,male
0,5.7,93.2,5,male
0,4.4,59.1,6,female
0,1.2,74.7,6,male
1,9.1,63.5,2,female
1,9.4,79.7,9,female
0,6.3,93.8,1,female
1,1.6,85.4,7,female
0,3.9,78.5,10,male
0,8.0,90.8,3,male
1,6.3,98.8,8,male
0,1.8,91.0,1,female
0,1.4,71.7,3,male
0,2.6,97.6,10,male
0,4.4,78.6,7,female
0,5.7,78.4,7,female
1,8.1,69.6,8,female
0,1.2,90.4,7,male
1,9.4,69.4,6,female
0,3.8,82.9,5,male
1,7.7,93.0,5,female
0,6.4,90.1,6,female
0,4.5,80.8,6,male
0,3.2,62.9,2,male
1,7.4,61.1,9,female
1,9.6,76.1,7,male
0,4.1,87.3,4,male
1,9.9,78.8,4,female
1,9.8,66.2,7,female
0,5.4,97.4,6,male
0,6.8,91.4,2,male
0,7.0,60.6,10,female
0,1.5,86.3,7,female
0,6.8,68.8,8,male
1,5.6,80.2,9,female
1,9.1,72.0,10,female
0,1.8,98.1,8,male
0,6.7,77.2,8,female
1,9.6,90.5,8,male
0,9.8,81.2,8,female
0,2.1,89.5,1,male
1,9.3,82.6,8,female
1,3.7,95.4,10,male
1,9.6,84.4,4,female
1,8.0,83.4,4,female
0,5.2,97.5,4,male
0,4.6,80.7,2,female
1,6.3,66.3,10,male
0,2.8,61.9,4,male
0,2.2,82.2,9,female
0,2.9,55.4,1,male
0,2.3,70.7,5,female
0,4.6,79.0,5,male
0,3.1,73.2,5,male
1,9.7,91.8,6,female
0,2.7,99.8,5,male
0,3.2,67.9,8,female
0,1.1,87.8,4,female
0,2.1,89.1,7,female
0,5.5,63.8,3,female
0,6.4,82.0,2,female
1,5.2,91.5,6,female
0,7.9,57.4,7,female
1,6.6,87.6,9,male
0,2.0,83.1,4,female
0,1.9,76.7,8,female
0,6.2,82.4,3,male
0,9.5,91.5,6,male
0,2.5,72.4,3,female
0,1.9,69.7,2,female
0,5.3,77.4,10,male
0,7.4,97.4,4,female
0,5.2,77.9,5,male
1,9.9,60.1,10,male
1,8.8,81.6,4,male
1,5.7,84.9,4,male
0,1.9,89.0,5,male
0,6.8,79.7,1,female
1,5.4,98.8,8,male
1,9.7,73.3,4,female
0,8.8,99.8,10,female
0,1.8,68.3,7,male
0,7.5,57.5,4,male
0,2.6,58.6,10,male
1,8.7,56.9,7,male
0,2.0,79.5,9,female
0,9.6,63.3,2,female
1,9.3,62.1,1,female
0,2.6,63.1,10,male
0,3.2,71.8,8,female
0,7.0,56.0,7,male
0,5.4,71.1,1,male
0,2.6,90.7,1,female
0,4.9,74.5,10,male
1,8.2,84.0,8,female
0,2.2,82.9,5,female
0,1.1,63.0,9,female
1,7.8,78.0,3,male
0,4.6,84.9,3,female
0,1.5,94.3,6,male
0,1.3,78.7,7,male
0,3.6,73.9,6,female
0,1.1,79.3,8,male
0,8.9,89.0,10,male
1,6.8,93.5,5,female
0,6.6,71.6,2,male
0,3.8,62.3,6,male
0,1.6,72.7,1,female
0,7.8,78.4,2,male
0,2.5,58.5,8,female
