id,biz_type,area,age,num_households,num_staff,ad_cost,sales
BLD01102,commercial,110.9,25,31,16,3371,5550
BLD00293,residential,281.5,20,4,65,2223,7341
BLD00268,residential,252.1,19,51,39,3815,6511
BLD00966,commercial,277.5,20,217,36,3783,23336
BLD00647,industrial,135.1,15,7,51,258,9261
BLD01126,industrial,312.1,47,152,62,2313,23602
BLD00422,residential,464.0,11,133,76,2133,24216
BLD01057,residential,93.0,16,16,74,2002,4485
BLD00131,industrial,334.9,24,13,44,3601,11585
BLD00111,residential,92.0,32,114,78,3015,8395
BLD00671,residential,144.2,44,135,18,1146,4924
BLD00034,commercial,272.9,49,193,30,2043,12820
BLD01125,industrial,308.5,47,30,76,3607,20899
BLD00967,commercial,126.4,20,148,60,2685,13915
BLD00669,commercial,340.2,7,23,3,1921,5662
BLD00209,commercial,49.0,10,133,31,1711,8170
BLD00115,residential,281.2,5,75,56,2184,7385
BLD01078,residential,100.0,8,188,46,4467,11790
BLD01144,residential,206.1,37,214,45,1461,14576
BLD00707,industrial,43.4,49,110,25,1733,6881
BLD00400,industrial,462.8,17,20,25,3709,8960
BLD00213,commercial,261.3,13,40,51,2383,6925
BLD00053,commercial,165.0,13,208,48,242,16081
BLD01116,public,281.6,15,122,44,4040,8717
BLD00905,public,241.2,32,143,24,4094,6538
BLD01050,residential,380.7,33,177,47,3340,20789
BLD00042,residential,120.3,35,181,19,1739,7557
BLD00301,residential,208.0,46,198,6,1179,5442
BLD00908,public,62.4,28,195,47,1155,10787
BLD00615,residential,62.5,31,71,1,1040,2182
BLD00765,industrial,264.9,22,195,30,4049,16987
BLD00706,residential,151.0,1,96,30,4893,12996
BLD00855,public,129.6,14,135,60,3367,8994
BLD00262,residential,171.5,14,146,52,4971,17124
BLD00599,residential,74.3,41,212,65,1022,14414
BLD00617,residential,20.4,19,40,53,2021,3950
BLD00664,commercial,290.6,27,29,52,2538,9732
BLD00492,public,165.2,15,98,56,4334,11652
BLD00389,commercial,148.4,6,120,70,3062,14129
BLD00733,residential,246.9,36,55,29,628,3726
BLD00728,public,149.2,12,21,9,3027,2288
BLD00275,commercial,270.9,39,13,69,3008,9236
BLD00357,residential,127.7,40,22,45,3316,3737
BLD00870,commercial,61.1,29,93,29,1762,5500
BLD00318,public,436.5,47,2,49,4133,7589
BLD01146,public,501.9,13,24,17,1970,7550
BLD00498,public,132.2,10,132,20,3489,5525
BLD00598,commercial,158.1,24,54,39,387,4920
BLD00858,commercial,346.5,9,113,2,3341,7600
BLD00292,public,328.9,24,35,66,2232,8694
BLD00458,residential,161.9,23,132,53,4432,8991
BLD01079,public,266.3,20,147,79,3776,21418
BLD00709,commercial,239.5,42,206,74,526,21578
BLD00049,commercial,137.3,26,149,67,1270,12875
BLD01098,residential,149.6,7,194,37,2346,11510
BLD00382,public,204.2,9,36,75,1104,7358
BLD00995,commercial,231.3,34,200,29,1022,11871
BLD00909,commercial,202.3,41,107,22,909,6280
BLD00981,residential,241.6,11,201,43,4730,30555
BLD00346,residential,283.6,13,17,10,608,3189
BLD00632,residential,103.0,35,217,55,2180,12738
BLD01163,commercial,181.2,46,138,50,3058,12478
BLD01095,residential,260.7,17,100,67,3145,12902
BLD00247,public,135.4,3,103,48,4325,6588
BLD00723,industrial,287.4,19,147,12,765,9291
BLD00393,public,149.2,45,148,10,925,3623
BLD00103,residential,224.0,45,148,41,3804,17532
BLD00309,commercial,346.4,1,147,14,2943,15634
BLD00388,industrial,65.2,43,57,57,3014,10115
BLD00005,industrial,182.8,42,196,74,4037,20438
BLD00950,residential,66.5,14,99,76,446,7707
BLD00302,industrial,238.1,16,150,69,1906,20827
BLD00710,residential,366.0,31,95,78,431,13380
BLD01005,commercial,124.9,46,31,30,670,4875
BLD00299,residential,227.1,24,167,79,4782,27340
BLD00851,residential,120.4,9,196,57,3565,13850
BLD00274,residential,130.4,50,169,43,129,6996
BLD01153,residential,186.6,40,189,21,1024,8414
BLD00316,public,304.7,4,93,62,4509,12993
BLD00524,residential,221.4,4,38,32,2344,5263
BLD01048,public,119.6,22,31,57,3089,4948
BLD01007,residential,234.6,2,113,24,4586,9055
BLD00328,industrial,233.1,30,148,58,4431,19144
BLD00841,industrial,501.3,47,24,73,634,16506
BLD00557,residential,339.9,32,74,48,1342,6587
BLD00429,commercial,248.2,1,119,26,1175,10022
BLD00881,industrial,393.3,23,61,41,4633,16299
BLD00314,commercial,75.0,24,74,18,1780,3604
BLD01068,commercial,213.8,16,162,39,1374,16184
BLD00067,industrial,86.2,5,184,52,2127,20121
BLD00176,residential,228.0,15,18,14,2201,3245
BLD01161,industrial,218.2,12,5,12,1217,3751
BLD00056,residential,353.6,44,149,29,3605,14439
BLD00570,commercial,190.8,49,212,47,1002,15625
BLD00029,residential,210.4,22,75,4,2481,3739
BLD00698,residential,261.5,50,36,22,2061,4445
BLD00167,residential,273.4,7,204,76,363,21424
BLD00742,commercial,130.1,32,26,10,3767,4594
BLD00794,commercial,199.7,47,21,12,4285,7033
BLD00276,residential,263.1,13,167,63,1314,12912
BLD00964,commercial,373.4,35,59,40,3071,14556
BLD00631,commercial,168.9,19,139,53,1613,11081
BLD00345,residential,339.7,50,129,55,2246,12761
BLD00690,residential,227.3,22,83,58,221,5948
BLD00286,industrial,369.7,23,66,16,3166,14145
BLD00055,residential,215.0,16,117,7,3019,5039
BLD00118,commercial,211.0,27,45,55,2655,8345
BLD00329,residential,90.9,12,46,3,2296,2874
BLD00022,industrial,97.9,43,15,27,281,3389
BLD00963,commercial,199.4,50,14,4,3294,5330
BLD00124,commercial,277.1,8,63,74,4669,19420
BLD01015,residential,140.5,26,105,62,3353,7813
BLD00258,public,206.9,4,138,26,3111,7700
BLD01065,residential,145.7,13,92,40,522,9643
BLD00011,residential,105.7,12,133,28,3026,7370
BLD00620,residential,219.9,10,177,39,4642,17420
BLD00547,commercial,46.0,20,73,1,4996,4157
BLD00240,commercial,208.8,50,173,16,2457,9933
BLD00037,commercial,66.0,21,60,50,2703,7404
BLD00163,commercial,109.6,13,147,10,697,5421
BLD00396,residential,123.7,47,99,31,1534,5406
BLD00369,commercial,344.7,50,37,47,3151,11703
BLD00321,residential,414.2,45,23,31,3418,5980
BLD00271,residential,288.2,2,83,32,4697,9636
BLD00953,public,252.9,26,20,69,3154,5142
BLD00727,residential,25.2,49,67,22,4984,4616
BLD01176,commercial,252.0,45,129,16,2436,7679
BLD00805,public,249.2,17,121,34,3479,12332
BLD00642,public,279.7,50,83,59,3780,10457
BLD00518,public,213.6,29,204,44,1149,15056
BLD00101,commercial,141.1,15,127,63,1837,13818
BLD00459,industrial,60.4,33,157,35,4445,11222
BLD00450,residential,222.7,28,46,3,1860,3278
BLD00186,industrial,238.1,32,175,76,2740,33346
BLD00479,industrial,130.6,9,51,17,482,6673
BLD00543,commercial,101.4,18,64,52,3825,7097
BLD00152,industrial,379.2,23,115,52,4125,35649
BLD00991,commercial,146.0,49,181,15,232,6791
BLD00692,commercial,158.5,10,211,21,180,10331
BLD00824,public,250.5,14,29,23,4606,3288
BLD00954,commercial,209.2,26,74,61,1680,11312
BLD00339,residential,261.5,11,203,22,4591,19575
BLD00370,industrial,109.9,22,186,21,3693,12242
BLD01099,commercial,160.4,30,207,12,4092,10176
BLD01166,residential,451.8,21,125,26,2307,10129
BLD01060,residential,133.9,39,166,31,3864,8625
BLD00427,public,155.7,29,32,18,4506,3011
BLD01114,residential,405.9,16,161,6,2355,8969
BLD00645,residential,435.0,38,78,6,4266,7710
BLD00079,residential,250.9,6,98,70,2959,16504
BLD00735,commercial,487.1,47,121,22,1765,11912
BLD00713,commercial,311.0,22,159,71,1205,20946
BLD01047,public,203.5,45,102,79,1758,10961
BLD00409,commercial,26.2,16,13,40,1828,4236
BLD00196,commercial,346.0,31,180,1,4192,10566
BLD00080,industrial,309.3,37,33,37,1735,7952
BLD00434,residential,65.8,8,102,32,1585,5150
BLD00470,commercial,230.7,17,57,11,3497,6781
BLD00798,residential,308.2,31,66,55,4217,10862
BLD00677,industrial,292.5,41,74,18,4094,10560
BLD00672,residential,89.1,48,80,49,2049,4364
BLD00839,public,326.4,13,114,33,3289,10018
BLD01138,commercial,73.5,39,186,77,4280,20481
BLD01121,industrial,210.7,3,137,2,4729,10658
BLD00394,commercial,218.0,24,84,29,1455,7468
BLD00708,public,80.2,30,191,49,2661,9425
BLD01109,commercial,149.3,43,43,41,4197,5875
BLD01156,public,184.5,48,114,44,3874,7844
BLD00092,public,233.3,14,22,52,4609,5193
BLD00171,industrial,127.3,31,41,24,919,3780
BLD00273,residential,259.7,6,16,1,3166,6729
BLD00347,residential,107.2,10,185,6,3426,8430
BLD00076,commercial,303.9,28,86,63,2765,19913
BLD00596,commercial,99.8,48,140,31,111,7199
BLD01022,industrial,128.9,16,219,35,981,13957
BLD00779,public,198.6,3,112,65,3921,8988
BLD01143,public,239.2,6,93,5,465,4520
BLD01043,commercial,118.9,32,201,38,1725,13766
BLD00170,commercial,116.4,11,157,42,1406,11510
BLD00548,residential,36.2,33,43,54,4733,4831
BLD00057,commercial,318.1,5,69,21,2125,8257
BLD00549,commercial,304.1,6,13,21,4222,7920
BLD00088,residential,101.1,31,93,49,2868,5481
BLD00156,residential,324.8,45,199,61,4710,23058
BLD00108,commercial,159.4,4,23,39,2183,4833
BLD00651,residential,415.9,35,168,48,4551,27104
BLD01085,commercial,61.6,19,19,15,1725,2419
BLD00750,industrial,222.4,34,144,68,851,23055
BLD00237,residential,140.3,10,219,22,2666,12018
BLD00562,residential,219.9,11,50,17,2289,3971
BLD00499,commercial,264.1,40,118,44,1292,11404
BLD00915,public,350.7,49,3,52,664,6012
BLD00744,commercial,165.6,15,42,74,3411,8288
BLD01010,residential,180.0,39,207,36,3829,11485
BLD00358,residential,215.8,20,62,35,4908,15316
BLD00270,commercial,174.4,46,7,10,494,2654
BLD00473,residential,401.5,14,171,26,3777,16124
BLD00462,residential,131.8,37,200,7,1216,6240
BLD00464,industrial,298.2,31,133,6,3671,14328
BLD00075,residential,59.3,21,57,73,2023,6231
BLD00060,commercial,354.9,35,120,10,251,8398
BLD01108,residential,78.1,7,97,57,4374,7380
BLD00829,commercial,158.4,18,86,41,1267,6196
BLD00493,public,181.8,40,60,41,3319,6633
BLD01024,residential,105.9,11,72,34,3479,5572
BLD00729,residential,395.0,39,209,73,1861,25825
BLD01063,commercial,162.0,14,84,59,3267,10436
BLD00849,residential,198.9,36,16,18,1133,2120
BLD00012,industrial,96.3,48,97,41,3320,7274
BLD00526,residential,125.6,1,48,28,1034,3283
BLD00228,commercial,78.9,17,5,22,314,3622
BLD01110,industrial,339.2,49,16,7,2061,7156
BLD00912,commercial,181.7,28,105,75,2447,13483
BLD00027,residential,196.7,15,78,68,3842,11812
BLD00634,public,320.9,10,148,61,4512,13064
BLD00799,residential,166.2,27,152,3,794,4998
BLD01003,residential,312.7,44,154,28,4090,13209
BLD00243,public,128.9,35,7,58,3825,4263
BLD01140,public,226.3,12,195,50,273,8255
BLD00784,residential,200.4,11,61,53,190,7122
BLD00942,industrial,272.2,7,43,45,3112,10751
BLD01097,commercial,86.6,36,26,27,459,3073
BLD01186,residential,397.0,48,128,51,2213,17670
BLD00380,residential,101.6,6,190,1,2206,7034
BLD00398,commercial,185.8,6,115,7,4157,8228
BLD00718,industrial,211.7,8,107,65,4232,25057
BLD00586,industrial,280.5,34,60,61,2672,13265
BLD00506,commercial,197.7,16,35,49,3696,9317
BLD00834,residential,75.3,22,41,22,4699,5750
BLD00828,industrial,173.8,21,28,66,3465,11329
BLD00815,residential,328.4,46,6,18,4172,4878
BLD01193,residential,245.0,45,58,53,4846,10201
BLD00629,residential,516.9,25,105,66,3825,19689
BLD00766,commercial,404.4,15,72,12,1027,7490
BLD00354,residential,102.7,33,18,58,2174,3345
BLD01083,industrial,253.1,30,10,73,4487,12626
BLD00480,residential,375.6,5,42,63,1858,15917
BLD00817,residential,116.8,6,1,31,4861,3098
BLD00514,residential,244.2,7,102,77,3177,14703
BLD00483,industrial,141.4,3,166,60,215,25577
BLD01013,residential,224.2,38,121,33,2224,8190
BLD00916,industrial,214.5,9,109,17,3048,9394
BLD00149,industrial,124.4,8,175,16,3520,11830
BLD00488,residential,325.7,20,10,44,3178,5787
BLD00660,industrial,260.8,28,211,69,3330,31600
BLD00364,residential,405.3,49,42,52,1954,8434
BLD00938,commercial,210.9,44,7,66,1450,5582
BLD00810,industrial,74.0,29,89,73,2203,12352
BLD00621,public,193.2,40,174,20,1803,8029
BLD00583,industrial,239.9,4,216,40,3840,19131
BLD00879,residential,224.9,7,115,41,1452,7619
BLD00872,commercial,70.9,43,38,16,4223,4001
BLD00238,public,104.1,43,89,58,674,4655
BLD00680,commercial,267.6,20,182,21,1659,10806
BLD01169,residential,69.5,17,17,21,2308,2753
BLD00825,residential,168.5,44,139,39,2537,8843
BLD00366,industrial,161.9,12,25,26,4361,5666
BLD01087,residential,325.4,11,167,37,1654,14367
BLD00850,commercial,123.1,28,197,53,2869,11833
BLD00976,residential,158.9,19,104,47,2929,9267
BLD00783,residential,324.2,18,35,40,4647,6795
BLD00781,public,183.9,14,204,65,867,10092
BLD01028,residential,89.5,45,93,12,1618,4086
BLD00667,commercial,255.7,18,2,72,3411,7728
BLD01129,commercial,249.3,31,46,67,1552,11339
BLD00336,residential,290.6,1,139,8,1827,8134
BLD01055,industrial,328.7,47,163,62,4413,37788
BLD00203,commercial,262.9,22,188,69,4087,30493
BLD00231,residential,194.6,35,69,8,2396,3342
BLD00891,commercial,135.7,5,197,14,3061,8034
BLD00701,public,243.3,16,74,32,2313,4929
BLD00233,residential,241.4,9,118,23,2673,9166
BLD00699,commercial,77.0,19,65,9,2082,5264
BLD00342,public,318.8,41,126,25,4573,7158
BLD00133,commercial,183.2,18,77,29,4894,10789
BLD01141,commercial,217.9,35,15,8,223,3229
BLD00344,commercial,90.4,49,16,48,4232,6847
BLD00522,commercial,231.7,48,197,69,2970,27367
BLD00255,residential,290.1,50,51,54,352,8497
BLD01119,residential,467.3,45,131,53,4725,29890
BLD00284,industrial,509.5,7,119,13,1527,17182
BLD00836,residential,155.8,27,20,35,2383,4412
BLD00083,commercial,365.6,18,107,73,580,17364
BLD00065,industrial,121.9,41,71,70,162,11729
BLD00968,residential,119.5,4,138,58,264,6104
BLD00793,industrial,216.1,7,166,26,2913,14214
BLD00716,commercial,186.5,45,207,76,3018,36171
BLD00743,commercial,176.8,28,115,66,2064,10163
BLD01197,residential,141.9,6,145,41,2472,9199
BLD00725,commercial,362.9,17,186,78,667,31162
BLD00379,industrial,373.5,22,163,39,2281,27455
BLD01127,residential,173.0,29,164,16,4853,10230
BLD00122,residential,263.9,10,23,37,1949,7099
BLD00712,commercial,147.2,30,162,78,4755,20933
BLD00749,public,363.6,32,79,19,2490,5580
BLD00471,residential,168.8,24,129,75,1519,8797
BLD00466,residential,67.4,24,58,75,3601,6515
BLD01071,residential,54.1,31,8,30,3290,2315
BLD01175,residential,98.5,48,87,62,601,4995
BLD00722,industrial,437.1,10,67,42,2582,13631
BLD00375,industrial,336.0,31,29,3,4065,9650
BLD01184,residential,212.5,15,39,15,3904,5286
BLD01185,residential,112.7,10,61,59,2851,6952
BLD01032,residential,573.3,17,169,59,4924,31360
BLD00484,commercial,180.9,12,147,29,2650,15806
BLD01021,commercial,354.2,18,175,11,2344,16720
BLD00218,residential,364.5,22,90,45,355,6706
BLD01054,residential,412.1,28,7,6,2423,5293
BLD00390,residential,320.3,15,216,76,2015,28710
BLD00426,public,337.6,49,99,70,1394,11082
BLD00383,commercial,162.0,48,77,20,1351,5106
BLD00330,public,266.0,9,44,62,3063,6988
BLD00350,industrial,436.3,8,15,29,4264,15494
BLD01009,commercial,301.7,6,192,40,3588,22116
BLD00693,residential,190.7,24,195,74,1565,16187
BLD00023,industrial,241.0,12,126,18,3356,11870
BLD00035,commercial,160.1,24,84,7,1967,5227
BLD00277,commercial,292.8,20,142,12,3988,15233
BLD00864,industrial,243.7,2,146,6,4960,16772
BLD00371,public,136.4,32,189,45,923,8402
BLD00160,commercial,134.0,3,63,35,1098,5668
BLD00288,public,219.3,21,51,36,717,6329
BLD00184,industrial,76.0,41,216,7,3356,6577
BLD00894,residential,176.4,49,94,8,1508,3869
BLD00533,commercial,195.2,5,21,68,1475,6884
BLD00853,industrial,335.4,36,108,23,969,10014
BLD01025,commercial,283.7,46,207,77,3726,28705
BLD01167,residential,158.9,37,41,74,623,5603
BLD00161,commercial,316.9,48,144,68,3267,21532
BLD00633,residential,296.3,26,17,47,2219,6496
BLD00646,residential,353.8,24,85,38,4216,10956
BLD00128,commercial,77.8,23,52,33,3103,5052
BLD00895,residential,302.9,44,181,47,3047,14547
BLD00582,industrial,236.1,47,4,79,592,11730
BLD00081,residential,240.2,46,83,58,1316,9360
BLD00188,commercial,87.4,49,89,73,4875,13298
BLD01019,residential,74.5,9,155,76,2498,12805
BLD00365,residential,331.5,47,130,70,4876,24672
BLD00416,commercial,156.1,33,215,48,3161,12975
BLD00193,residential,213.2,4,27,67,3215,5509
BLD00535,commercial,439.2,48,74,77,2360,21361
BLD00182,residential,412.6,11,142,19,3171,9522
BLD00215,commercial,72.3,14,201,53,2004,22447
BLD00486,residential,266.0,46,104,67,3410,16924
BLD00649,commercial,145.8,46,198,10,4141,11052
BLD00123,residential,230.6,15,5,52,854,5489
BLD00359,commercial,178.8,44,70,39,4459,7632
BLD00560,residential,280.7,16,40,34,482,7316
BLD00606,commercial,150.3,25,209,2,2648,11180
BLD00417,residential,139.8,49,164,11,1881,6777
BLD01170,commercial,195.4,46,76,10,3320,7892
BLD00579,industrial,422.3,10,97,56,2942,25440
BLD00835,commercial,92.6,5,69,69,2871,9716
BLD00285,residential,166.9,45,191,39,4578,8927
BLD00986,residential,300.1,39,155,51,2079,9606
BLD00928,residential,141.2,21,174,51,3741,12788
BLD00787,public,243.7,15,179,4,762,6077
BLD00668,commercial,254.8,41,83,60,3476,15282
BLD00332,public,179.6,13,181,10,4553,10605
BLD00681,industrial,131.6,21,45,40,3693,7047
BLD00654,public,98.3,32,68,73,4582,7934
BLD00448,residential,207.9,47,18,43,272,2870
BLD00102,commercial,417.3,17,73,21,1734,13429
BLD00447,public,73.1,27,67,66,1570,4985
BLD00730,residential,334.3,3,74,37,3214,8540
BLD00208,industrial,265.8,50,188,12,3160,15320
BLD00095,commercial,293.7,4,149,40,2023,14046
BLD00431,residential,167.3,46,118,5,1306,4185
BLD00865,residential,217.4,37,93,69,4380,14672
BLD01041,residential,453.2,50,180,26,1251,11609
BLD01037,commercial,93.5,40,70,27,715,4729
BLD00818,residential,265.8,34,102,70,4004,20226
BLD00143,public,96.6,7,208,31,3743,5477
BLD01023,commercial,286.3,5,3,5,1835,5837
BLD00971,commercial,276.5,31,65,29,3741,6742
BLD01066,residential,221.9,30,131,15,1252,6269
BLD00786,public,256.4,32,119,33,491,7650
BLD00705,public,235.4,47,207,35,1370,8430
BLD00656,residential,303.5,7,201,41,1735,19845
BLD00254,commercial,303.4,23,160,66,4745,24685
BLD00738,residential,202.2,22,175,77,260,10844
BLD00539,industrial,284.4,43,175,73,924,26099
BLD00269,residential,226.0,31,169,19,3857,7235
BLD00064,commercial,286.2,20,37,50,1936,9865
BLD01134,industrial,115.0,12,28,3,3156,4734
BLD00546,industrial,326.1,35,100,67,3643,23175
BLD00785,residential,265.4,46,71,77,795,8222
BLD01105,residential,184.1,8,60,11,1689,3556
BLD00982,commercial,67.8,21,197,52,2276,12877
BLD00119,residential,354.6,33,170,43,4908,18280
BLD00528,residential,258.5,25,167,63,979,14690
BLD00776,residential,185.7,19,24,55,2109,4296
BLD00555,residential,313.9,15,151,56,461,11074
BLD00930,residential,299.9,27,132,76,4674,24893
BLD00833,commercial,89.6,14,33,76,3985,13912
BLD00175,public,253.1,26,132,57,4586,8026
BLD00875,residential,144.5,50,157,10,2437,6285
BLD00919,commercial,212.6,12,73,74,2691,10208
BLD01165,residential,232.8,20,46,75,1866,9500
BLD01168,residential,206.6,20,96,71,2116,13042
BLD00456,residential,134.3,34,104,16,3645,4567
BLD00523,public,314.6,16,37,54,2373,8440
BLD00094,industrial,175.6,48,105,48,4797,14796
BLD00501,residential,469.6,35,199,60,4365,38472
BLD00774,industrial,191.6,31,196,8,335,10404
BLD00312,commercial,351.1,42,11,29,2096,6576
BLD01061,commercial,281.7,50,176,28,1252,10765
BLD00519,residential,67.1,25,194,72,944,13170
BLD00814,public,275.8,15,81,77,288,11661
BLD00154,residential,85.7,5,65,16,1747,4158
BLD00117,commercial,170.9,12,34,58,1837,12906
BLD00532,public,518.6,24,135,61,281,16217
BLD00469,residential,367.1,5,139,55,2841,19412
BLD01091,residential,238.8,14,2,65,4361,7865
BLD00444,residential,156.6,1,157,21,1584,7410
BLD00854,residential,88.8,32,3,34,737,3278
BLD01113,residential,163.7,39,172,12,4695,9158
BLD01150,public,216.1,17,190,51,939,11410
BLD00024,commercial,100.7,17,4,10,911,2628
BLD00031,residential,174.3,18,69,66,1535,9073
BLD00226,residential,298.4,43,197,1,2367,11131
BLD00001,industrial,204.1,19,29,12,1384,5794
BLD00585,industrial,140.4,18,83,22,1016,6289
BLD00878,residential,162.5,37,138,34,2577,6211
BLD00714,residential,71.3,20,74,28,1250,3475
BLD00436,residential,320.1,49,135,31,1343,7968
BLD00754,commercial,84.8,12,44,22,4126,9376
BLD00624,public,114.5,22,143,15,1939,6643
BLD00822,residential,151.4,6,104,8,2071,5289
BLD00116,commercial,128.6,21,7,46,2318,4846
BLD00509,public,122.9,22,55,10,2584,3243
BLD00033,commercial,308.0,19,93,53,593,8420
BLD01033,residential,227.3,21,70,41,2503,7242
BLD00959,residential,162.5,20,104,25,1035,5559
BLD01100,residential,128.2,19,1,3,3771,2113
BLD00039,public,92.3,31,216,57,4329,10839
BLD00025,industrial,262.5,45,153,32,3347,13168
BLD00945,residential,355.6,42,112,11,2344,6236
BLD00200,residential,431.5,19,95,63,2289,18925
BLD00206,commercial,216.6,26,190,39,4111,19308
BLD00789,residential,59.3,25,5,47,1808,3919
BLD00762,commercial,112.3,38,126,18,3851,9482
BLD00181,commercial,147.9,24,136,75,1140,17499
BLD00259,residential,67.9,47,190,41,3539,7731
BLD01178,public,303.5,22,35,25,1369,3526
BLD00411,residential,272.5,30,185,22,4737,13175
BLD00265,residential,278.5,43,166,3,787,6399
BLD00955,public,175.8,25,175,16,1282,6337
BLD01088,public,91.9,27,31,18,817,2254
BLD00720,residential,236.5,21,155,48,723,10234
BLD00296,public,190.1,15,19,29,3056,5136
BLD01006,residential,237.4,31,153,33,4121,15679
BLD01082,residential,106.8,44,53,10,2569,3141
BLD00653,residential,295.2,42,68,62,4598,12825
BLD00874,residential,282.3,19,59,76,2462,14776
BLD00661,residential,226.9,14,141,47,359,13442
BLD00929,public,264.8,45,212,11,4392,9420
BLD01026,public,150.7,42,195,51,1866,9488
BLD00958,residential,287.8,1,72,56,925,8633
BLD00106,commercial,218.1,37,114,77,3050,15378
BLD00072,public,302.0,8,134,50,1838,9451
BLD00627,commercial,178.1,9,143,27,3073,10476
BLD00235,public,114.0,40,52,51,4799,6552
BLD00348,residential,203.8,44,137,32,2249,7839
BLD00746,commercial,290.9,26,94,11,1552,5704
BLD00970,commercial,75.5,30,190,57,133,13065
BLD00403,public,406.4,32,92,3,1288,7741
BLD01104,commercial,127.2,33,123,26,4733,5707
BLD00521,commercial,478.9,37,125,35,324,13146
BLD00510,commercial,127.7,26,30,8,380,2869
BLD00947,residential,273.1,27,170,63,3084,24816
BLD00050,commercial,243.9,15,90,43,4739,11555
BLD01139,public,301.2,41,136,36,2506,8855
BLD00387,commercial,223.6,46,43,68,3950,12218
BLD00303,residential,425.8,7,109,60,4410,19100
BLD00180,commercial,108.0,1,197,22,2850,10229
BLD00202,residential,214.2,6,12,63,4009,6835
BLD00670,industrial,184.6,11,108,79,2785,24479
BLD01036,commercial,145.5,36,1,71,3651,9098
BLD00920,commercial,95.7,46,56,44,4356,7396
BLD00232,residential,186.4,22,144,13,4346,7897
