방문자ID,그룹,방문횟수,웹페이지방문시간,광고노출수,구매여부,구매금액
V0062,B,4,49.7,7,0,3375.8
V0063,A,9,54.7,10,1,5982.8
V0064,B,7,49.8,7,1,5453.8
V0065,A,9,30.8,5,1,5250.5
V0066,A,10,53.8,11,1,4729.8
V0067,A,6,43.2,8,1,4083.8
V0068,B,6,31.1,5,0,2143.6
V0069,B,7,41.2,8,0,2886.2
V0070,B,7,44.8,10,1,3838.6
V0071,B,10,54.9,13,0,3092.0
V0072,A,4,45.8,4,0,3264.1
V0073,A,4,42.6,10,0,2497.1
V0074,B,5,47.1,8,0,2611.1
V0075,B,7,58.2,5,1,4571.4
V0076,B,4,48.9,5,1,4434.0
V0077,B,12,62.9,7,1,5372.1
V0078,B,7,39.0,9,1,4744.7
V0079,B,7,36.7,9,1,4402.5
V0080,B,10,65.5,7,0,3309.4
V0081,A,3,31.8,5,0,1664.9
V0082,B,7,63.0,6,0,2719.6
V0083,A,6,51.9,8,0,2246.3
V0084,B,5,49.7,8,0,2788.6
V0085,B,7,33.4,8,1,4399.5
V0086,A,8,45.1,7,1,4901.0
V0087,A,4,31.0,13,0,1013.6
V0088,A,5,43.3,12,0,2093.1
V0089,A,3,37.3,6,0,2478.7
V0090,A,5,28.5,10,0,2776.0
V0091,A,4,41.4,11,0,2172.5
V0092,A,5,51.0,13,0,2267.6
V0093,B,10,43.7,3,1,5629.4
V0094,A,6,53.5,8,0,3733.6
V0095,B,3,38.8,5,0,3342.9
V0096,A,8,30.9,7,0,1432.1
V0097,A,8,50.6,3,1,5267.7
V0098,B,6,44.5,8,0,3812.0
V0099,B,5,36.7,9,0,2332.8
V0100,B,5,29.9,3,0,2437.5
V0101,A,6,50.1,7,0,4074.9
V0102,B,5,53.1,7,1,4779.8
V0103,A,6,42.2,9,1,5423.1
V0104,B,4,38.8,7,0,2419.5
V0105,A,4,29.7,8,0,2320.1
V0106,B,3,35.5,6,0,2284.0
V0107,A,6,49.2,11,0,2904.9
V0108,A,4,45.4,5,0,2312.6
V0109,A,5,48.3,4,0,2519.0
V0110,B,2,29.6,9,0,2387.8
V0111,B,5,38.5,12,0,1967.9
V0112,B,4,38.9,9,0,2475.8
V0113,A,5,60.6,7,1,5072.7
V0114,B,9,64.7,12,0,3379.2
V0115,A,5,44.1,8,0,3009.3
V0116,B,7,56.5,10,0,2579.1
V0117,A,5,37.7,4,0,2122.5
V0118,A,7,46.5,8,0,1998.4
V0119,A,5,27.4,6,0,2737.7
V0120,B,2,27.8,7,0,2738.6
V0121,A,3,40.6,7,0,3146.5
V0122,A,3,28.6,7,0,1011.0
V0123,B,8,46.3,9,1,4421.8
V0124,A,9,48.1,10,0,3614.2
V0125,B,4,53.4,5,1,3230.3
V0126,A,13,73.9,11,1,6255.0
V0127,B,8,54.8,8,1,6013.3
V0128,B,9,40.1,5,1,5264.6
V0129,B,9,40.6,5,1,4682.5
V0130,B,9,40.1,6,0,3431.1
V0131,A,6,40.5,10,0,3602.1
V0132,A,8,53.6,10,0,2983.6
V0133,A,4,29.2,6,0,1309.8
V0134,B,9,52.9,6,1,5839.9
V0135,B,5,55.4,5,0,2212.5
V0136,A,10,28.2,8,1,4605.6
V0137,A,10,36.9,7,0,3031.9
V0138,A,5,33.5,9,0,2107.4
V0139,B,5,40.8,7,0,2519.7
V0140,B,6,64.1,11,0,2663.4
V0141,A,7,40.9,9,0,905.9
V0142,B,4,30.6,5,0,1644.0
V0143,A,10,55.5,10,1,5385.6
V0144,A,8,42.8,10,0,2324.2
V0145,A,3,39.3,13,0,2503.4
V0146,A,6,31.4,6,0,3151.8
V0147,B,6,45.0,9,0,2750.6
V0148,B,5,31.7,12,1,4552.5
V0149,A,7,46.7,12,1,5229.8
V0150,A,3,39.2,8,0,2087.1
V0151,A,2,29.0,12,0,2059.9
V0152,A,7,51.9,7,0,2925.5
V0153,B,9,58.1,10,0,3017.8
V0154,A,5,14.4,8,0,473.0
V0155,A,3,38.6,5,0,2402.6
V0156,A,11,46.5,9,1,4805.9
V0157,B,8,35.5,4,1,3601.5
V0158,A,3,43.9,10,0,2224.5
V0159,A,5,48.5,6,1,5250.9
V0160,A,5,37.9,2,0,1961.8
V0161,A,7,41.2,14,0,2471.5
V0162,B,6,48.7,10,0,1982.7
V0163,A,5,29.0,5,1,3860.7
V0164,B,5,37.1,5,0,628.8
V0165,B,10,56.4,8,1,4294.4
V0166,A,4,48.1,13,0,2184.4
V0167,A,8,43.4,9,0,2799.6
V0168,B,12,36.9,8,0,2671.7
V0169,A,6,50.1,6,0,2155.7
V0170,A,10,55.4,14,0,3803.9
V0171,B,7,47.5,9,1,5447.9
V0172,A,6,49.5,6,0,2473.9
V0173,B,11,58.2,7,0,3706.8
V0174,B,5,28.3,11,0,2318.5
V0175,A,3,34.6,8,0,2142.3
V0176,A,3,39.5,7,0,1421.7
V0177,A,9,53.5,10,1,6034.4
V0178,B,3,44.0,11,0,2707.0
V0179,B,9,47.1,6,0,2969.8
V0180,B,5,34.7,8,0,2156.6
V0181,B,8,55.6,5,0,3174.9
V0182,B,5,25.3,6,0,2328.7
V0183,A,5,34.5,12,0,1847.4
V0184,B,6,38.8,7,1,4530.5
V0185,A,4,25.8,5,0,1642.6
V0186,A,8,39.7,13,0,3591.9
V0187,B,8,50.8,9,0,2104.5
V0188,B,6,34.8,8,0,2306.6
V0189,A,8,40.3,8,0,1663.8
V0190,B,9,40.3,12,1,5065.5
V0191,A,7,42.5,9,0,2962.1
V0192,A,8,38.4,8,0,2357.4
V0193,B,7,33.5,11,0,2766.1
V0194,A,8,42.5,6,1,4329.6
V0195,A,7,40.9,13,1,5177.5
V0196,B,10,46.9,6,0,2451.2
V0197,B,2,27.1,7,0,473.0
V0198,A,6,39.3,6,0,1912.5
V0199,B,9,56.2,8,0,2963.8
V0200,B,7,38.0,6,0,3410.1
V0201,A,7,58.8,8,1,3858.8
V0202,A,2,35.5,8,0,1336.4
V0203,A,9,52.2,3,0,2203.4
V0204,A,10,54.3,9,1,5365.1
V0205,A,9,54.2,5,0,2337.4
V0206,B,9,67.2,3,1,4948.8
V0207,A,4,31.6,10,0,2852.9
V0208,A,2,28.7,6,0,1694.2
V0209,B,9,43.7,5,1,6282.8
V0210,A,5,45.4,9,0,2101.6
V0211,B,4,27.6,9,0,477.6
V0212,B,6,35.4,6,0,1802.1
V0213,A,8,33.5,10,0,3263.8
V0214,A,7,41.6,6,0,2036.4
V0215,A,7,32.1,13,1,4722.5
V0216,A,6,44.4,7,0,2319.3
V0217,B,4,42.1,6,0,2911.5
V0218,B,5,50.4,3,0,2381.6
V0219,B,5,10.1,2,0,2648.7
V0220,B,8,40.7,8,1,4450.0
V0221,A,9,49.0,9,1,4794.5
V0222,B,7,34.8,6,1,4430.7
V0223,B,5,34.2,3,1,4316.4
V0224,B,12,54.0,4,1,5258.6
V0225,B,4,43.6,8,0,2408.1
V0226,A,8,57.6,7,0,3759.9
V0227,A,9,51.9,11,0,3350.3
V0228,A,5,40.2,9,0,2342.9
V0229,B,9,44.6,10,1,4232.0
V0230,A,8,51.7,13,0,4612.6
V0231,B,5,38.7,8,0,2776.0
V0232,A,7,40.9,8,0,1711.9
V0233,B,10,63.5,6,1,4400.1
V0234,B,4,36.1,7,0,1831.7
V0235,B,6,47.6,4,0,2722.5
V0236,A,10,63.5,6,0,2976.2
V0237,A,6,33.2,6,1,4538.3
V0238,A,6,27.4,11,0,2268.8
V0239,A,4,20.2,7,0,1821.3
V0240,B,6,31.0,6,0,2616.8
V0241,A,5,40.1,7,0,1500.2
V0242,A,5,26.3,5,0,3120.2
V0243,A,8,57.5,7,0,3705.0
V0244,B,6,41.8,5,1,3871.2
V0245,A,3,39.5,4,0,2327.4
V0246,A,6,57.8,6,1,5519.9
V0247,B,10,59.2,9,1,5239.3
V0248,A,3,49.6,10,0,3248.2
V0249,A,10,43.3,9,0,3359.0
V0250,A,10,37.9,4,0,3413.2
V0251,A,7,61.0,11,0,2780.6
V0252,B,4,32.1,10,0,2403.0
V0253,B,6,30.4,4,1,4583.7
V0254,A,6,47.9,3,0,2784.0
V0255,A,9,39.8,10,0,1920.4
V0256,B,7,38.1,10,1,4845.3
V0257,B,7,60.1,11,0,3424.3
V0258,B,9,40.6,12,1,6010.7
V0259,A,6,26.5,7,0,2210.3
V0260,B,7,45.7,9,1,2689.1
V0261,B,8,32.4,10,0,3458.8
V0262,A,7,55.1,8,0,3308.3
V0263,A,4,34.1,5,0,2299.7
V0264,B,4,34.4,16,1,3920.1
V0265,A,3,28.4,2,0,2629.3
V0266,B,4,25.7,8,0,2475.9
V0267,A,7,46.5,14,0,2181.5
V0268,A,4,24.9,9,0,3022.7
V0269,B,5,32.4,7,1,5439.6
V0270,B,7,58.8,6,1,4540.7
V0271,A,3,43.2,8,0,2620.2
V0272,B,5,39.7,17,0,2198.8
V0273,B,2,47.0,6,1,3613.7
V0274,B,5,34.0,10,1,5169.9
V0275,A,4,28.3,10,0,1548.6
V0276,B,10,42.6,5,0,4072.9
V0277,A,6,15.2,14,0,2722.8
V0278,A,9,60.0,8,0,3777.2
V0279,A,9,24.7,10,0,2082.6
V0280,B,4,44.8,5,1,4774.3
V0281,A,5,34.9,10,0,3526.4
V0282,B,2,38.5,12,0,2679.7
V0283,A,9,50.0,0,0,3045.9
V0284,A,6,46.2,14,0,2377.6
V0285,A,6,47.0,5,1,4499.2
V0286,A,4,44.2,9,0,1525.5
V0287,A,7,42.9,12,0,3006.7
V0288,A,5,36.7,10,0,3447.8
V0289,B,4,10.7,14,0,1006.2
V0290,B,4,36.0,10,1,4799.8
V0291,A,7,42.1,6,0,2773.6
V0292,B,5,41.7,0,0,3006.6
V0293,B,8,52.7,7,0,3208.0
V0294,B,2,36.0,12,0,2701.2
V0295,A,4,32.1,7,1,3697.4
V0296,A,5,43.4,6,1,4197.7
V0297,B,8,59.3,8,1,4997.1
V0298,A,6,40.2,10,0,2727.1
V0299,B,5,41.8,8,0,2629.5
V0300,B,4,34.3,11,0,3093.0
V0301,B,4,42.8,7,1,4500.5
V0302,B,3,32.2,6,1,4209.7
V0303,A,10,48.6,5,1,5836.0
V0304,B,6,52.1,9,1,4307.0
V0305,B,4,50.8,6,0,2546.1
V0306,A,8,45.5,9,0,1900.8
V0307,A,9,45.1,7,0,2572.0
V0308,B,8,48.5,11,0,3807.4
V0309,A,6,34.5,11,0,3420.9
V0310,A,6,31.0,3,0,1800.4
V0311,B,2,10.5,5,0,595.8
V0312,A,5,45.6,9,0,3147.4
V0313,B,4,47.0,9,0,3695.2
V0314,A,6,44.1,8,0,2884.2
V0315,B,5,42.4,3,0,2212.2
V0316,A,4,36.8,5,1,4192.5
V0317,A,8,48.9,10,1,5654.7
V0318,A,8,43.3,9,1,5859.1
V0319,A,5,36.9,5,0,2568.8
V0320,A,4,35.2,7,0,2653.7
V0321,B,8,53.4,6,0,2940.0
V0322,B,6,41.3,8,0,1396.8
V0323,B,8,44.1,7,0,2673.6
V0324,A,3,34.8,6,0,2125.1
V0325,B,3,33.8,13,0,1777.3
V0326,B,4,22.0,5,0,1275.5
V0327,B,9,44.9,9,0,3624.1
V0328,A,7,55.3,8,1,4274.4
V0329,A,3,59.6,6,1,4997.6
V0330,B,2,40.9,8,0,3239.0
V0331,B,5,41.1,11,0,3105.9
V0332,B,8,41.7,9,0,3028.5
V0333,B,9,43.1,7,1,4449.9
V0334,B,5,46.7,3,1,5743.6
V0335,B,5,40.2,6,1,5373.4
V0336,A,3,21.7,12,0,2179.4
V0337,B,4,49.4,12,0,3606.2
V0338,A,6,54.2,9,0,3863.7
V0339,A,5,48.0,8,0,2407.5
V0340,A,7,56.4,11,0,4431.4
V0341,B,6,64.9,8,0,3380.6
V0342,B,2,20.0,5,0,1993.5
V0343,A,6,45.4,18,0,4019.0
V0344,A,8,61.9,15,0,3960.5
V0345,B,6,30.0,8,0,997.4
V0346,B,6,46.5,13,0,3140.6
V0347,B,6,50.4,9,0,3262.8
V0348,A,6,38.9,22,0,3475.2
V0349,A,5,35.6,10,1,4580.7
V0350,B,9,55.3,4,1,5997.8
V0351,B,7,49.2,5,0,2643.9
V0352,A,7,36.8,5,1,3844.8
V0353,B,6,39.8,10,0,2288.4
V0354,B,8,58.3,12,1,6425.5
V0355,B,6,41.7,6,0,2895.6
V0356,A,2,21.0,3,0,1646.4
V0357,A,6,40.1,6,1,4553.9
V0358,A,4,53.6,5,0,3676.8
V0359,B,4,52.8,12,0,3480.4
V0360,A,5,52.9,10,0,3218.2
