측정ID,실내온도,조도,소음,이산화탄소,습도
R0097,25.172,346.6,54.8,507.3,52.2
R0098,23.451,345.5,45.2,688.9,
R0099,24.581,551.0,43.2,631.0,40.9
R0100,23.758,595.6,47.8,495.5,51.9
R0101,22.974,349.5,48.9,,48.6
R0102,26.692,565.1,42.5,564.7,53.9
R0103,25.875,520.6,51.0,707.6,42.2
R0104,24.975,607.2,56.5,590.2,42.5
R0105,,814.7,50.9,576.7,53.9
R0106,24.362,367.7,47.6,563.0,43.2
R0107,,481.2,44.2,527.4,32.3
R0108,25.152,603.9,51.0,737.2,30.5
R0109,25.878,478.0,51.4,608.5,42.2
R0110,,606.5,41.3,483.3,40.4
R0111,25.649,476.1,57.0,753.9,54.7
R0112,26.73,506.3,35.1,,48.6
R0113,24.704,547.2,49.3,580.4,54.5
R0114,27.171,586.2,49.0,705.2,48.0
R0115,24.245,544.6,51.7,636.3,44.2
R0116,25.571,,46.0,863.4,56.2
R0117,22.596,545.6,45.7,705.3,45.8
R0118,25.0,631.6,43.2,636.1,40.4
R0119,24.378,560.5,48.7,702.3,63.5
R0120,22.465,371.9,45.8,533.2,
R0121,25.594,482.1,47.9,,38.3
R0122,,417.8,44.9,541.2,58.1
R0123,21.781,496.5,50.9,606.9,51.1
R0124,23.868,631.8,50.7,677.4,32.1
R0125,25.64,430.6,47.7,603.2,38.0
R0126,27.127,500.9,42.0,635.6,44.9
R0127,27.573,688.4,50.1,626.6,40.0
R0128,,662.8,48.3,686.3,51.4
R0129,24.157,648.7,,670.5,44.8
R0130,,521.8,47.2,667.5,59.4
R0131,25.649,535.9,,595.0,41.2
R0132,25.435,,48.4,641.3,36.4
R0133,,473.7,43.9,463.8,40.7
R0134,25.828,,42.2,764.7,31.2
R0135,26.892,661.5,39.4,686.5,41.3
R0136,22.143,560.8,48.6,493.2,46.3
R0137,,569.4,44.0,552.4,58.3
R0138,23.761,583.9,40.2,566.3,51.8
R0139,27.165,576.3,48.0,676.4,55.6
R0140,25.993,680.2,,850.0,45.7
R0141,25.921,526.8,51.1,750.1,49.5
R0142,24.739,638.9,,833.5,57.6
R0143,25.639,428.2,,861.0,54.0
R0144,25.268,694.3,47.7,,35.5
R0145,25.524,567.2,50.0,476.9,49.8
R0146,26.106,538.1,43.9,625.7,49.3
R0147,24.482,638.4,41.0,460.9,
R0148,,575.0,42.8,695.5,59.6
R0149,24.707,569.8,44.9,649.9,44.2
R0150,27.602,622.7,59.1,,43.8
R0151,22.444,563.6,44.2,784.0,57.3
R0152,25.04,363.1,49.3,,36.8
R0153,25.171,468.2,44.9,,41.0
R0154,23.983,760.6,48.2,481.6,46.1
R0155,28.105,557.7,56.9,815.6,43.3
R0156,25.783,751.5,52.8,628.1,47.6
R0157,26.447,467.6,58.9,672.5,20.3
R0158,24.206,580.9,38.9,613.3,62.8
R0159,26.992,550.9,55.7,600.0,
R0160,23.851,342.4,40.5,440.0,
R0161,26.337,412.7,52.7,752.7,34.1
R0162,,646.8,37.3,516.2,46.6
R0163,,544.6,41.8,633.1,44.6
R0164,24.454,,52.7,587.1,47.6
R0165,24.442,737.1,45.5,529.7,39.7
R0166,23.844,412.1,51.6,,40.0
R0167,,754.3,47.4,741.1,36.3
R0168,27.6,399.4,45.8,870.3,31.8
R0169,23.675,517.0,48.8,572.3,31.1
R0170,25.482,706.9,,723.7,40.1
R0171,22.302,600.4,55.1,603.5,39.5
R0172,24.642,554.3,46.2,641.5,58.0
R0173,24.987,460.0,53.1,668.7,57.9
R0174,,648.0,38.0,661.5,32.4
R0175,26.891,587.5,48.7,778.2,50.4
R0176,23.648,600.6,51.1,575.4,52.4
R0177,23.858,323.8,34.7,742.8,29.0
R0178,25.332,630.1,60.6,648.8,39.5
R0179,,574.9,52.5,815.0,42.7
R0180,24.538,401.7,40.4,605.7,43.3
