date,category,item,price
2024-06-05,커피,아메리카노,167496
2023-10-27,스무디,망고스무디,82505
2024-05-27,스무디,딸기스무디,84249
2023-06-04,커피,라떼,91120
2023-02-21,커피,아메리카노,149464
2024-06-28,스무디,딸기스무디,73680
2023-12-08,스무디,망고스무디,118395
2024-02-08,커피,아메리카노,60247
2023-08-22,커피,카푸치노,180063
2024-10-01,스무디,망고스무디,63690
2024-11-12,스무디,망고스무디,247392
2024-11-24,주스,사과주스,56287
2023-11-28,주스,사과주스,61140
2024-06-05,커피,라떼,155266
2023-01-28,주스,사과주스,85239
2024-11-16,커피,아메리카노,213993
2023-07-04,스무디,망고스무디,71550
2023-09-18,주스,사과주스,36795
2024-10-25,스무디,딸기스무디,64080
2023-03-20,스무디,딸기스무디,96032
2023-07-13,주스,오렌지주스,27530
2023-04-11,커피,라떼,24563
2023-10-02,주스,오렌지주스,87286
2024-05-31,주스,사과주스,111408
2023-11-18,주스,오렌지주스,89583
2023-02-12,커피,카푸치노,92414
2023-09-23,커피,카푸치노,107117
2024-01-24,주스,사과주스,94104
2023-10-01,주스,오렌지주스,252000
2024-02-21,주스,오렌지주스,161385
2023-05-23,스무디,망고스무디,210120
2024-12-01,주스,오렌지주스,127806
2024-01-07,스무디,망고스무디,139326
2023-07-15,스무디,딸기스무디,48380
2024-10-10,주스,사과주스,26873
2024-09-22,커피,라떼,47386
2024-12-04,커피,아메리카노,147910
2024-07-23,주스,사과주스,143988
2024-02-09,커피,아메리카노,68990
2023-06-01,주스,사과주스,147072
2023-10-01,커피,카푸치노,245037
2023-01-25,주스,오렌지주스,219595
2024-07-25,커피,라떼,66274
2023-03-26,커피,아메리카노,101360
2023-11-12,스무디,딸기스무디,132012
2023-07-30,커피,라떼,57694
2023-05-22,주스,사과주스,46308
2023-12-30,주스,오렌지주스,178850
2023-04-25,스무디,딸기스무디,38910
2023-08-02,스무디,망고스무디,218790
2023-04-23,스무디,망고스무디,90202
2023-06-16,스무디,망고스무디,80461
2024-04-04,주스,오렌지주스,88647
2024-12-27,스무디,딸기스무디,109004
2023-03-20,주스,사과주스,134000
2024-05-07,스무디,딸기스무디,207966
2023-02-08,커피,라떼,61104
2024-04-02,주스,오렌지주스,121440
2024-06-02,커피,라떼,94581
2024-05-02,커피,카푸치노,61520
2023-12-27,스무디,망고스무디,88298
2024-07-12,주스,사과주스,31908
2024-03-17,스무디,망고스무디,181152
2024-07-19,커피,라떼,43395
2024-04-27,커피,라떼,91800
2024-09-26,스무디,망고스무디,166848
2024-04-10,주스,오렌지주스,33264
2023-07-13,커피,아메리카노,47940
2024-12-21,커피,라떼,126046
2024-07-15,커피,카푸치노,214098
2023-08-30,주스,오렌지주스,157185
2023-12-23,스무디,망고스무디,98700
2023-09-28,스무디,망고스무디,107344
2024-10-06,스무디,딸기스무디,68940
2024-02-24,스무디,망고스무디,119724
2024-02-29,스무디,딸기스무디,52151
2023-10-02,커피,카푸치노,222752
2023-04-03,스무디,딸기스무디,129697
2024-07-31,주스,사과주스,94360
2023-02-23,주스,오렌지주스,40920
2023-09-13,주스,사과주스,33558
2024-11-22,주스,오렌지주스,106728
2023-07-11,스무디,망고스무디,69927
2023-02-03,주스,사과주스,67808
2024-07-10,스무디,망고스무디,60600
