기록ID,지역,평일배달건수,주말배달건수
광주-002,광주,,58.5
광주-003,광주,,83.2
광주-004,광주,116.2,98.0
광주-005,광주,90.8,87.6
광주-006,광주,110.7,
광주-007,광주,104.8,80.0
광주-008,광주,125.5,79.3
광주-009,광주,123.0,92.8
광주-010,광주,102.5,86.7
광주-011,광주,102.0,86.7
광주-012,광주,97.1,88.1
광주-013,광주,,71.4
광주-014,광주,98.8,62.7
광주-015,광주,132.6,84.2
광주-016,광주,148.9,82.2
광주-017,광주,105.4,59.6
광주-018,광주,97.5,
광주-019,광주,133.5,68.9
광주-020,광주,110.3,71.7
광주-021,광주,117.6,60.1
광주-022,광주,99.4,53.8
광주-023,광주,113.1,91.4
광주-024,광주,100.2,85.5
광주-025,광주,101.4,51.4
광주-026,광주,,88.7
광주-027,광주,101.8,81.8
광주-028,광주,124.2,86.5
광주-029,광주,134.1,64.7
광주-030,광주,,52.8
광주-031,광주,102.1,69.0
광주-032,광주,100.1,80.1
광주-033,광주,115.9,94.0
광주-034,광주,110.6,77.2
광주-035,광주,128.5,75.9
광주-036,광주,119.3,75.5
광주-037,광주,125.3,90.4
광주-038,광주,99.7,82.8
광주-039,광주,108.2,74.3
광주-040,광주,121.4,89.2
광주-041,광주,96.8,73.2
광주-042,광주,119.6,100.4
광주-043,광주,118.5,65.2
광주-044,광주,96.6,108.3
광주-045,광주,100.8,84.8
광주-046,광주,124.9,66.1
광주-047,광주,,81.7
광주-048,광주,91.4,91.1
광주-049,광주,121.6,80.3
광주-050,광주,114.6,91.4
광주-051,광주,88.5,97.1
광주-052,광주,109.6,74.9
광주-053,광주,94.8,90.7
광주-054,광주,124.4,55.5
광주-055,광주,131.0,53.7
광주-056,광주,105.6,112.3
광주-057,광주,121.8,96.0
광주-058,광주,88.9,70.5
광주-059,광주,102.2,99.4
광주-060,광주,128.2,76.9
광주-061,광주,92.5,97.7
광주-062,광주,108.8,96.1
광주-063,광주,111.8,71.3
광주-064,광주,104.1,89.8
광주-065,광주,100.7,102.7
광주-066,광주,116.1,71.3
광주-067,광주,104.8,71.1
광주-068,광주,137.5,116.1
광주-069,광주,120.5,80.4
광주-070,광주,64.1,81.7
광주-071,광주,119.6,79.0
광주-072,광주,,68.8
광주-073,광주,90.3,66.9
광주-074,광주,,98.3
광주-075,광주,,60.7
광주-076,광주,123.9,101.1
광주-077,광주,120.1,75.6
광주-078,광주,105.5,
광주-079,광주,116.7,96.4
광주-080,광주,102.4,93.2
대구-001,대구,105.1,
대구-002,대구,95.9,72.4
대구-003,대구,125.4,51.7
대구-004,대구,113.5,59.0
대구-005,대구,135.0,87.0
대구-006,대구,112.7,80.7
대구-007,대구,114.4,55.7
대구-008,대구,87.7,52.5
대구-009,대구,107.7,80.5
대구-010,대구,118.7,64.5
대구-011,대구,99.4,88.5
대구-012,대구,85.6,
대구-013,대구,114.8,81.5
대구-014,대구,127.7,87.0
대구-015,대구,82.7,87.8
대구-016,대구,90.6,58.9
대구-017,대구,135.9,69.0
대구-018,대구,130.4,70.6
대구-019,대구,112.8,91.2
대구-020,대구,119.5,69.6
대구-021,대구,125.6,86.2
대구-022,대구,76.0,60.4
대구-023,대구,,80.4
대구-024,대구,91.8,67.5
대구-025,대구,101.9,67.2
대구-026,대구,94.4,99.7
대구-027,대구,119.7,75.8
대구-028,대구,120.5,75.7
대구-029,대구,142.4,98.9
대구-030,대구,98.2,81.8
대구-031,대구,127.3,58.3
대구-032,대구,111.6,110.6
대구-033,대구,119.8,61.2
대구-034,대구,,78.0
대구-035,대구,109.3,78.0
대구-036,대구,81.0,69.8
대구-037,대구,93.3,77.4
대구-038,대구,115.8,84.8
대구-039,대구,99.7,61.1
대구-040,대구,50.9,90.7
대구-041,대구,,81.5
대구-042,대구,107.8,48.9
대구-043,대구,77.0,89.4
대구-044,대구,84.6,86.1
대구-045,대구,112.1,72.4
대구-046,대구,106.8,95.2
대구-047,대구,83.7,64.9
대구-048,대구,113.5,96.4
대구-049,대구,93.2,103.1
대구-050,대구,125.9,99.4
대구-051,대구,129.2,79.1
대구-052,대구,111.5,73.8
대구-053,대구,123.0,73.5
대구-054,대구,,78.1
대구-055,대구,83.4,72.6
대구-056,대구,92.7,69.5
대구-057,대구,105.8,60.5
대구-058,대구,115.7,45.1
대구-059,대구,103.2,70.9
대구-060,대구,92.6,71.9
대구-061,대구,104.8,71.1
대구-062,대구,92.5,60.4
대구-063,대구,90.0,81.6
대구-064,대구,73.4,70.8
대구-065,대구,87.0,70.3
대구-066,대구,66.9,92.6
대구-067,대구,81.3,87.3
대구-068,대구,71.2,
대구-069,대구,103.0,98.1
대구-070,대구,108.4,81.5
대구-071,대구,118.4,79.8
대구-072,대구,117.1,91.6
대구-073,대구,,83.0
대구-074,대구,90.3,54.3
대구-075,대구,81.1,79.4
대구-076,대구,102.9,76.3
대구-077,대구,114.4,
대구-078,대구,106.2,64.7
대구-079,대구,115.7,73.1
대구-080,대구,119.7,69.0
인천-001,인천,90.4,107.3
인천-002,인천,109.7,51.0
인천-003,인천,111.1,82.6
인천-004,인천,61.4,64.1
인천-005,인천,,61.1
인천-006,인천,80.3,61.2
인천-007,인천,85.6,43.9
인천-008,인천,81.3,
인천-009,인천,101.4,46.6
인천-010,인천,108.1,69.1
인천-011,인천,93.9,63.4
인천-012,인천,85.6,73.1
인천-013,인천,109.9,44.9
인천-014,인천,91.6,74.1
인천-015,인천,61.4,75.2
인천-016,인천,,83.0
인천-017,인천,96.0,86.0
인천-018,인천,85.9,
인천-019,인천,75.5,78.1
인천-020,인천,97.7,50.1
인천-021,인천,103.4,60.8
인천-022,인천,77.3,87.7
인천-023,인천,99.0,44.5
인천-024,인천,97.5,59.1
인천-025,인천,98.8,85.2
인천-026,인천,87.3,68.4
인천-027,인천,111.8,
인천-028,인천,104.9,83.8
인천-029,인천,51.6,53.7
인천-030,인천,91.4,78.8
인천-031,인천,73.0,55.7
인천-032,인천,90.3,47.7
인천-033,인천,92.9,88.6
인천-034,인천,95.1,65.2
인천-035,인천,85.0,64.4
인천-036,인천,76.1,80.4
인천-037,인천,67.9,39.1
인천-038,인천,,49.1
인천-039,인천,97.8,61.5
인천-040,인천,101.0,46.1
인천-041,인천,,71.0
인천-042,인천,,56.5
인천-043,인천,79.3,54.9
인천-044,인천,104.6,
인천-045,인천,59.0,72.4
인천-046,인천,69.8,56.5
인천-047,인천,109.5,
인천-048,인천,87.9,55.0
인천-049,인천,74.4,61.4
인천-050,인천,100.1,70.0
인천-051,인천,91.3,48.5
인천-052,인천,89.4,79.4
인천-053,인천,59.3,70.5
인천-054,인천,91.4,62.7
인천-055,인천,,83.7
인천-056,인천,153.7,73.4
인천-057,인천,92.2,78.9
인천-058,인천,82.7,73.2
인천-059,인천,66.9,
인천-060,인천,,58.9
인천-061,인천,81.7,37.6
인천-062,인천,129.3,65.5
인천-063,인천,96.0,75.1
인천-064,인천,95.4,56.4
인천-065,인천,94.9,27.9
인천-066,인천,75.7,64.3
인천-067,인천,108.6,64.4
인천-068,인천,94.8,60.7
인천-069,인천,63.7,70.8
인천-070,인천,102.4,
인천-071,인천,82.2,78.7
인천-072,인천,97.4,71.2
인천-073,인천,,83.9
인천-074,인천,100.6,76.1
인천-075,인천,,72.9
인천-076,인천,90.1,88.5
인천-077,인천,115.3,71.3
인천-078,인천,107.6,66.3
인천-079,인천,91.7,80.8
인천-080,인천,110.7,48.9
