학생ID,문제ID,대주제,소주제,정답여부
1013,5,수학,측정,0
1013,6,영어,듣기,0
1013,7,사회,문화,0
1013,8,수학,도형,1
1013,9,사회,지리,0
1013,10,과학,화학,0
1013,11,영어,어휘,1
1013,12,영어,독해,1
1013,13,영어,쓰기,0
1013,14,사회,역사,1
1013,15,사회,경제,1
1013,16,수학,소수,1
1013,17,수학,분수,0
1013,18,영어,문법,0
1013,19,수학,방정식,0
1013,20,과학,물리,0
1014,1,과학,동물,0
1014,2,사회,정치,1
1014,3,과학,지구,1
1014,4,과학,식물,0
1014,5,수학,측정,1
1014,6,영어,듣기,1
1014,7,사회,문화,0
1014,8,수학,도형,0
1014,9,사회,지리,1
1014,10,과학,화학,0
1014,11,영어,어휘,0
1014,12,영어,독해,1
1014,13,영어,쓰기,1
1014,14,사회,역사,0
1014,15,사회,경제,1
1014,16,수학,소수,1
1014,17,수학,분수,0
1014,18,영어,문법,0
1014,19,수학,방정식,1
1014,20,과학,물리,0
1015,1,과학,동물,1
1015,2,사회,정치,0
1015,3,과학,지구,1
1015,4,과학,식물,0
1015,5,수학,측정,0
1015,6,영어,듣기,0
1015,7,사회,문화,1
1015,8,수학,도형,1
1015,9,사회,지리,0
1015,10,과학,화학,1
1015,11,영어,어휘,0
1015,12,영어,독해,1
1015,13,영어,쓰기,1
1015,14,사회,역사,1
1015,15,사회,경제,1
1015,16,수학,소수,1
1015,17,수학,분수,0
1015,18,영어,문법,0
1015,19,수학,방정식,1
1015,20,과학,물리,1
1016,1,과학,동물,0
1016,2,사회,정치,1
1016,3,과학,지구,1
1016,4,과학,식물,0
1016,5,수학,측정,0
1016,6,영어,듣기,1
1016,7,사회,문화,1
1016,8,수학,도형,1
1016,9,사회,지리,0
1016,10,과학,화학,1
1016,11,영어,어휘,1
1016,12,영어,독해,1
1016,13,영어,쓰기,0
1016,14,사회,역사,1
1016,15,사회,경제,1
1016,16,수학,소수,1
1016,17,수학,분수,1
1016,18,영어,문법,0
1016,19,수학,방정식,1
1016,20,과학,물리,0
1017,1,과학,동물,1
1017,2,사회,정치,0
1017,3,과학,지구,1
1017,4,과학,식물,1
1017,5,수학,측정,1
1017,6,영어,듣기,0
1017,7,사회,문화,1
1017,8,수학,도형,1
1017,9,사회,지리,1
1017,10,과학,화학,1
1017,11,영어,어휘,0
1017,12,영어,독해,0
1017,13,영어,쓰기,1
1017,14,사회,역사,0
1017,15,사회,경제,1
1017,16,수학,소수,1
1017,17,수학,분수,1
1017,18,영어,문법,1
1017,19,수학,방정식,1
1017,20,과학,물리,1
1018,1,과학,동물,0
1018,2,사회,정치,1
1018,3,과학,지구,0
1018,4,과학,식물,0
1018,5,수학,측정,0
1018,6,영어,듣기,1
1018,7,사회,문화,0
1018,8,수학,도형,0
1018,9,사회,지리,1
1018,10,과학,화학,1
1018,11,영어,어휘,0
1018,12,영어,독해,0
1018,13,영어,쓰기,0
1018,14,사회,역사,0
1018,15,사회,경제,0
1018,16,수학,소수,1
1018,17,수학,분수,0
1018,18,영어,문법,1
1018,19,수학,방정식,0
1018,20,과학,물리,0
1019,1,과학,동물,1
1019,2,사회,정치,1
1019,3,과학,지구,1
1019,4,과학,식물,1
1019,5,수학,측정,1
1019,6,영어,듣기,1
1019,7,사회,문화,0
1019,8,수학,도형,1
1019,9,사회,지리,1
1019,10,과학,화학,0
1019,11,영어,어휘,0
1019,12,영어,독해,1
1019,13,영어,쓰기,0
1019,14,사회,역사,1
1019,15,사회,경제,1
1019,16,수학,소수,1
1019,17,수학,분수,1
1019,18,영어,문법,1
1019,19,수학,방정식,1
1019,20,과학,물리,0
1020,1,과학,동물,0
1020,2,사회,정치,0
1020,3,과학,지구,0
1020,4,과학,식물,1
1020,5,수학,측정,0
1020,6,영어,듣기,1
1020,7,사회,문화,0
1020,8,수학,도형,1
1020,9,사회,지리,0
1020,10,과학,화학,0
1020,11,영어,어휘,1
1020,12,영어,독해,1
1020,13,영어,쓰기,0
1020,14,사회,역사,1
1020,15,사회,경제,1
1020,16,수학,소수,1
1020,17,수학,분수,0
1020,18,영어,문법,1
1020,19,수학,방정식,1
1020,20,과학,물리,0
1021,1,과학,동물,0
1021,2,사회,정치,0
1021,3,과학,지구,0
1021,4,과학,식물,0
1021,5,수학,측정,1
1021,6,영어,듣기,0
1021,7,사회,문화,0
1021,8,수학,도형,0
1021,9,사회,지리,0
1021,10,과학,화학,0
1021,11,영어,어휘,1
1021,12,영어,독해,1
1021,13,영어,쓰기,0
1021,14,사회,역사,1
1021,15,사회,경제,1
1021,16,수학,소수,0
1021,17,수학,분수,1
1021,18,영어,문법,0
1021,19,수학,방정식,1
1021,20,과학,물리,1
1022,1,과학,동물,0
1022,2,사회,정치,1
1022,3,과학,지구,1
1022,4,과학,식물,1
1022,5,수학,측정,1
1022,6,영어,듣기,1
1022,7,사회,문화,0
1022,8,수학,도형,0
1022,9,사회,지리,1
1022,10,과학,화학,1
1022,11,영어,어휘,1
1022,12,영어,독해,1
1022,13,영어,쓰기,0
1022,14,사회,역사,1
1022,15,사회,경제,1
1022,16,수학,소수,1
1022,17,수학,분수,1
1022,18,영어,문법,1
1022,19,수학,방정식,1
1022,20,과학,물리,0
1023,1,과학,동물,0
1023,2,사회,정치,0
1023,3,과학,지구,1
1023,4,과학,식물,0
1023,5,수학,측정,0
1023,6,영어,듣기,1
1023,7,사회,문화,1
1023,8,수학,도형,0
1023,9,사회,지리,1
1023,10,과학,화학,0
1023,11,영어,어휘,1
1023,12,영어,독해,1
1023,13,영어,쓰기,0
1023,14,사회,역사,0
1023,15,사회,경제,1
1023,16,수학,소수,0
1023,17,수학,분수,0
1023,18,영어,문법,0
1023,19,수학,방정식,1
1023,20,과학,물리,0
1024,1,과학,동물,1
1024,2,사회,정치,1
1024,3,과학,지구,0
1024,4,과학,식물,0
1024,5,수학,측정,1
1024,6,영어,듣기,0
1024,7,사회,문화,0
1024,8,수학,도형,0
1024,9,사회,지리,1
1024,10,과학,화학,0
1024,11,영어,어휘,1
1024,12,영어,독해,1
1024,13,영어,쓰기,0
1024,14,사회,역사,1
1024,15,사회,경제,1
1024,16,수학,소수,1
1024,17,수학,분수,1
1024,18,영어,문법,0
1024,19,수학,방정식,0
1024,20,과학,물리,1
1025,1,과학,동물,1
1025,2,사회,정치,1
1025,3,과학,지구,1
1025,4,과학,식물,1
1025,5,수학,측정,0
1025,6,영어,듣기,0
1025,7,사회,문화,0
1025,8,수학,도형,1
1025,9,사회,지리,1
1025,10,과학,화학,1
1025,11,영어,어휘,1
1025,12,영어,독해,1
1025,13,영어,쓰기,0
1025,14,사회,역사,1
1025,15,사회,경제,1
1025,16,수학,소수,1
1025,17,수학,분수,1
1025,18,영어,문법,1
1025,19,수학,방정식,1
1025,20,과학,물리,1
1026,1,과학,동물,0
1026,2,사회,정치,1
1026,3,과학,지구,1
1026,4,과학,식물,1
1026,5,수학,측정,1
1026,6,영어,듣기,0
1026,7,사회,문화,1
1026,8,수학,도형,1
1026,9,사회,지리,1
1026,10,과학,화학,1
1026,11,영어,어휘,1
1026,12,영어,독해,0
1026,13,영어,쓰기,0
1026,14,사회,역사,1
1026,15,사회,경제,1
1026,16,수학,소수,0
1026,17,수학,분수,0
1026,18,영어,문법,0
1026,19,수학,방정식,0
1026,20,과학,물리,1
1027,1,과학,동물,0
1027,2,사회,정치,1
1027,3,과학,지구,1
1027,4,과학,식물,0
1027,5,수학,측정,0
1027,6,영어,듣기,1
1027,7,사회,문화,0
1027,8,수학,도형,1
1027,9,사회,지리,1
1027,10,과학,화학,1
1027,11,영어,어휘,1
1027,12,영어,독해,1
1027,13,영어,쓰기,1
1027,14,사회,역사,1
1027,15,사회,경제,0
1027,16,수학,소수,0
1027,17,수학,분수,0
1027,18,영어,문법,0
1027,19,수학,방정식,0
1027,20,과학,물리,0
1028,1,과학,동물,0
1028,2,사회,정치,1
1028,3,과학,지구,0
1028,4,과학,식물,1
1028,5,수학,측정,0
1028,6,영어,듣기,1
1028,7,사회,문화,0
1028,8,수학,도형,1
1028,9,사회,지리,0
1028,10,과학,화학,0
1028,11,영어,어휘,0
1028,12,영어,독해,1
1028,13,영어,쓰기,0
1028,14,사회,역사,1
1028,15,사회,경제,0
1028,16,수학,소수,0
1028,17,수학,분수,1
1028,18,영어,문법,1
1028,19,수학,방정식,1
1028,20,과학,물리,1
1029,1,과학,동물,1
1029,2,사회,정치,1
1029,3,과학,지구,0
1029,4,과학,식물,0
1029,5,수학,측정,0
1029,6,영어,듣기,1
1029,7,사회,문화,1
1029,8,수학,도형,1
1029,9,사회,지리,0
1029,10,과학,화학,0
1029,11,영어,어휘,1
1029,12,영어,독해,0
1029,13,영어,쓰기,1
1029,14,사회,역사,0
1029,15,사회,경제,0
1029,16,수학,소수,0
1029,17,수학,분수,0
1029,18,영어,문법,1
1029,19,수학,방정식,0
1029,20,과학,물리,0
1030,1,과학,동물,1
1030,2,사회,정치,0
1030,3,과학,지구,1
1030,4,과학,식물,0
1030,5,수학,측정,1
1030,6,영어,듣기,1
1030,7,사회,문화,0
1030,8,수학,도형,1
1030,9,사회,지리,0
1030,10,과학,화학,0
1030,11,영어,어휘,1
1030,12,영어,독해,0
1030,13,영어,쓰기,1
1030,14,사회,역사,1
1030,15,사회,경제,1
1030,16,수학,소수,1
1030,17,수학,분수,1
1030,18,영어,문법,1
1030,19,수학,방정식,0
1030,20,과학,물리,0
1031,1,과학,동물,0
1031,2,사회,정치,0
1031,3,과학,지구,0
1031,4,과학,식물,1
1031,5,수학,측정,1
1031,6,영어,듣기,1
1031,7,사회,문화,1
1031,8,수학,도형,0
1031,9,사회,지리,0
1031,10,과학,화학,0
1031,11,영어,어휘,1
1031,12,영어,독해,0
1031,13,영어,쓰기,1
1031,14,사회,역사,0
1031,15,사회,경제,0
1031,16,수학,소수,0
1031,17,수학,분수,1
1031,18,영어,문법,1
1031,19,수학,방정식,1
1031,20,과학,물리,0
1032,1,과학,동물,1
1032,2,사회,정치,0
1032,3,과학,지구,1
1032,4,과학,식물,1
1032,5,수학,측정,1
1032,6,영어,듣기,1
1032,7,사회,문화,0
1032,8,수학,도형,0
1032,9,사회,지리,1
1032,10,과학,화학,1
1032,11,영어,어휘,0
1032,12,영어,독해,1
1032,13,영어,쓰기,1
1032,14,사회,역사,0
1032,15,사회,경제,0
1032,16,수학,소수,0
1032,17,수학,분수,1
1032,18,영어,문법,0
1032,19,수학,방정식,1
1032,20,과학,물리,0
1033,1,과학,동물,0
1033,2,사회,정치,1
1033,3,과학,지구,1
1033,4,과학,식물,0
1033,5,수학,측정,1
1033,6,영어,듣기,1
1033,7,사회,문화,0
1033,8,수학,도형,1
1033,9,사회,지리,1
1033,10,과학,화학,0
1033,11,영어,어휘,0
1033,12,영어,독해,1
1033,13,영어,쓰기,0
1033,14,사회,역사,1
1033,15,사회,경제,1
1033,16,수학,소수,0
1033,17,수학,분수,1
1033,18,영어,문법,1
1033,19,수학,방정식,0
1033,20,과학,물리,1
1034,1,과학,동물,0
1034,2,사회,정치,1
1034,3,과학,지구,1
1034,4,과학,식물,1
1034,5,수학,측정,1
1034,6,영어,듣기,0
1034,7,사회,문화,1
1034,8,수학,도형,0
1034,9,사회,지리,1
1034,10,과학,화학,0
1034,11,영어,어휘,1
1034,12,영어,독해,1
1034,13,영어,쓰기,1
1034,14,사회,역사,0
1034,15,사회,경제,1
1034,16,수학,소수,1
1034,17,수학,분수,0
1034,18,영어,문법,1
1034,19,수학,방정식,0
1034,20,과학,물리,0
1035,1,과학,동물,0
1035,2,사회,정치,1
1035,3,과학,지구,1
1035,4,과학,식물,1
1035,5,수학,측정,1
1035,6,영어,듣기,0
1035,7,사회,문화,1
1035,8,수학,도형,0
1035,9,사회,지리,0
1035,10,과학,화학,1
1035,11,영어,어휘,1
1035,12,영어,독해,1
1035,13,영어,쓰기,1
1035,14,사회,역사,1
1035,15,사회,경제,1
1035,16,수학,소수,1
1035,17,수학,분수,1
1035,18,영어,문법,1
1035,19,수학,방정식,1
1035,20,과학,물리,0
1036,1,과학,동물,0
1036,2,사회,정치,0
1036,3,과학,지구,1
1036,4,과학,식물,1
1036,5,수학,측정,0
1036,6,영어,듣기,1
1036,7,사회,문화,0
1036,8,수학,도형,0
1036,9,사회,지리,1
1036,10,과학,화학,1
1036,11,영어,어휘,1
1036,12,영어,독해,0
1036,13,영어,쓰기,1
1036,14,사회,역사,0
1036,15,사회,경제,1
1036,16,수학,소수,0
1036,17,수학,분수,1
1036,18,영어,문법,1
1036,19,수학,방정식,0
1036,20,과학,물리,0
1037,1,과학,동물,0
1037,2,사회,정치,0
1037,3,과학,지구,1
1037,4,과학,식물,0
1037,5,수학,측정,1
1037,6,영어,듣기,0
1037,7,사회,문화,0
1037,8,수학,도형,0
1037,9,사회,지리,0
1037,10,과학,화학,0
1037,11,영어,어휘,1
1037,12,영어,독해,0
1037,13,영어,쓰기,0
1037,14,사회,역사,1
1037,15,사회,경제,0
1037,16,수학,소수,1
1037,17,수학,분수,1
1037,18,영어,문법,1
1037,19,수학,방정식,0
1037,20,과학,물리,1
1038,1,과학,동물,1
1038,2,사회,정치,0
1038,3,과학,지구,1
1038,4,과학,식물,0
1038,5,수학,측정,1
1038,6,영어,듣기,1
1038,7,사회,문화,0
1038,8,수학,도형,0
1038,9,사회,지리,1
1038,10,과학,화학,0
1038,11,영어,어휘,0
1038,12,영어,독해,1
1038,13,영어,쓰기,1
1038,14,사회,역사,1
1038,15,사회,경제,1
1038,16,수학,소수,1
1038,17,수학,분수,1
1038,18,영어,문법,1
1038,19,수학,방정식,0
1038,20,과학,물리,0
1039,1,과학,동물,0
1039,2,사회,정치,1
1039,3,과학,지구,1
1039,4,과학,식물,1
1039,5,수학,측정,0
1039,6,영어,듣기,1
1039,7,사회,문화,1
1039,8,수학,도형,0
1039,9,사회,지리,0
1039,10,과학,화학,1
1039,11,영어,어휘,1
1039,12,영어,독해,1
1039,13,영어,쓰기,1
1039,14,사회,역사,1
1039,15,사회,경제,1
1039,16,수학,소수,0
1039,17,수학,분수,1
1039,18,영어,문법,1
1039,19,수학,방정식,0
1039,20,과학,물리,0
1040,1,과학,동물,0
1040,2,사회,정치,1
1040,3,과학,지구,1
1040,4,과학,식물,0
1040,5,수학,측정,0
1040,6,영어,듣기,1
1040,7,사회,문화,1
1040,8,수학,도형,1
1040,9,사회,지리,1
1040,10,과학,화학,0
1040,11,영어,어휘,1
1040,12,영어,독해,1
1040,13,영어,쓰기,1
1040,14,사회,역사,1
1040,15,사회,경제,1
1040,16,수학,소수,0
1040,17,수학,분수,0
1040,18,영어,문법,0
1040,19,수학,방정식,1
1040,20,과학,물리,0
1041,1,과학,동물,0
1041,2,사회,정치,1
1041,3,과학,지구,0
1041,4,과학,식물,1
1041,5,수학,측정,0
1041,6,영어,듣기,1
1041,7,사회,문화,1
1041,8,수학,도형,0
1041,9,사회,지리,0
1041,10,과학,화학,1
1041,11,영어,어휘,1
1041,12,영어,독해,1
1041,13,영어,쓰기,0
1041,14,사회,역사,0
1041,15,사회,경제,1
1041,16,수학,소수,1
1041,17,수학,분수,0
1041,18,영어,문법,1
1041,19,수학,방정식,1
1041,20,과학,물리,1
1042,1,과학,동물,0
1042,2,사회,정치,1
1042,3,과학,지구,0
1042,4,과학,식물,1
1042,5,수학,측정,0
1042,6,영어,듣기,1
1042,7,사회,문화,1
1042,8,수학,도형,1
1042,9,사회,지리,0
1042,10,과학,화학,1
1042,11,영어,어휘,0
1042,12,영어,독해,1
1042,13,영어,쓰기,1
1042,14,사회,역사,1
1042,15,사회,경제,0
1042,16,수학,소수,0
1042,17,수학,분수,1
1042,18,영어,문법,1
1042,19,수학,방정식,0
1042,20,과학,물리,1
1043,1,과학,동물,0
1043,2,사회,정치,0
1043,3,과학,지구,1
1043,4,과학,식물,0
1043,5,수학,측정,1
1043,6,영어,듣기,0
1043,7,사회,문화,1
1043,8,수학,도형,0
1043,9,사회,지리,1
1043,10,과학,화학,1
1043,11,영어,어휘,0
1043,12,영어,독해,1
1043,13,영어,쓰기,1
1043,14,사회,역사,0
1043,15,사회,경제,1
1043,16,수학,소수,1
1043,17,수학,분수,0
1043,18,영어,문법,1
1043,19,수학,방정식,1
1043,20,과학,물리,1
1044,1,과학,동물,0
1044,2,사회,정치,1
1044,3,과학,지구,0
1044,4,과학,식물,1
1044,5,수학,측정,1
1044,6,영어,듣기,1
1044,7,사회,문화,0
1044,8,수학,도형,1
1044,9,사회,지리,1
1044,10,과학,화학,1
1044,11,영어,어휘,0
1044,12,영어,독해,1
1044,13,영어,쓰기,1
1044,14,사회,역사,1
1044,15,사회,경제,1
1044,16,수학,소수,1
1044,17,수학,분수,0
1044,18,영어,문법,1
1044,19,수학,방정식,0
1044,20,과학,물리,1
1045,1,과학,동물,1
1045,2,사회,정치,1
1045,3,과학,지구,1
1045,4,과학,식물,0
1045,5,수학,측정,0
1045,6,영어,듣기,1
1045,7,사회,문화,1
1045,8,수학,도형,0
1045,9,사회,지리,0
1045,10,과학,화학,0
1045,11,영어,어휘,1
1045,12,영어,독해,1
1045,13,영어,쓰기,0
1045,14,사회,역사,0
1045,15,사회,경제,1
1045,16,수학,소수,0
1045,17,수학,분수,0
1045,18,영어,문법,1
1045,19,수학,방정식,0
1045,20,과학,물리,1
1046,1,과학,동물,1
1046,2,사회,정치,0
1046,3,과학,지구,0
1046,4,과학,식물,1
1046,5,수학,측정,1
1046,6,영어,듣기,1
1046,7,사회,문화,1
1046,8,수학,도형,1
1046,9,사회,지리,0
1046,10,과학,화학,1
1046,11,영어,어휘,1
1046,12,영어,독해,0
1046,13,영어,쓰기,1
1046,14,사회,역사,1
1046,15,사회,경제,1
1046,16,수학,소수,1
1046,17,수학,분수,0
1046,18,영어,문법,1
1046,19,수학,방정식,1
1046,20,과학,물리,0
1047,1,과학,동물,1
1047,2,사회,정치,0
1047,3,과학,지구,1
1047,4,과학,식물,1
1047,5,수학,측정,0
1047,6,영어,듣기,1
1047,7,사회,문화,0
1047,8,수학,도형,0
1047,9,사회,지리,0
1047,10,과학,화학,1
1047,11,영어,어휘,1
1047,12,영어,독해,1
1047,13,영어,쓰기,0
1047,14,사회,역사,1
1047,15,사회,경제,0
1047,16,수학,소수,1
1047,17,수학,분수,0
1047,18,영어,문법,0
1047,19,수학,방정식,1
1047,20,과학,물리,0
1048,1,과학,동물,0
1048,2,사회,정치,0
1048,3,과학,지구,1
1048,4,과학,식물,0
1048,5,수학,측정,1
1048,6,영어,듣기,1
1048,7,사회,문화,1
1048,8,수학,도형,1
1048,9,사회,지리,0
1048,10,과학,화학,1
1048,11,영어,어휘,1
1048,12,영어,독해,0
1048,13,영어,쓰기,1
1048,14,사회,역사,1
1048,15,사회,경제,1
1048,16,수학,소수,1
1048,17,수학,분수,0
1048,18,영어,문법,1
1048,19,수학,방정식,0
1048,20,과학,물리,0
1049,1,과학,동물,0
1049,2,사회,정치,1
1049,3,과학,지구,1
1049,4,과학,식물,1
1049,5,수학,측정,1
1049,6,영어,듣기,1
1049,7,사회,문화,0
1049,8,수학,도형,0
1049,9,사회,지리,1
1049,10,과학,화학,0
1049,11,영어,어휘,1
1049,12,영어,독해,1
1049,13,영어,쓰기,1
1049,14,사회,역사,0
1049,15,사회,경제,1
1049,16,수학,소수,0
1049,17,수학,분수,1
1049,18,영어,문법,1
1049,19,수학,방정식,0
1049,20,과학,물리,1
1050,1,과학,동물,0
1050,2,사회,정치,1
1050,3,과학,지구,1
1050,4,과학,식물,1
1050,5,수학,측정,0
1050,6,영어,듣기,0
1050,7,사회,문화,0
1050,8,수학,도형,1
1050,9,사회,지리,0
1050,10,과학,화학,0
1050,11,영어,어휘,0
1050,12,영어,독해,1
1050,13,영어,쓰기,1
1050,14,사회,역사,1
1050,15,사회,경제,1
1050,16,수학,소수,0
1050,17,수학,분수,1
1050,18,영어,문법,1
1050,19,수학,방정식,0
1050,20,과학,물리,0
