학생ID,소속,나이,전공유형,비고
S0296,사회대,22,단일전공,
S0182,인문대,27,단일전공,
S0293,사회대,19,단일전공,
S0014,사회대,28,단일전공,
S0090,자연대,20,단일전공,
S0074,인문대,22,단일전공,
S0231,공과대,23,단일전공,
S0147,자연대,23,단일전공,
S0200,,사회대,28,복수전공
S0210,,인문대,20,복수전공
S0205,,인문대,25,복수전공
S0122,,사회대,23,복수전공
S0081,,공과대,21,복수전공
S0174,인문대,28,단일전공,
S0207,인문대,24,단일전공,
S0150,공과대,27,단일전공,
S0282,사회대,25,단일전공,
S0235,자연대,29,단일전공,
S0294,사회대,27,단일전공,
S0159,사회대,23,단일전공,
S0102,공과대,22,단일전공,
S0271,,공과대,28,복수전공
S0191,사회대,29,단일전공,
S0257,자연대,26,단일전공,
S0152,,공과대,28,복수전공
S0098,공과대,19,단일전공,
S0155,,인문대,26,복수전공
S0250,사회대,19,단일전공,
S0101,자연대,21,단일전공,
S0073,,사회대,19,복수전공
S0016,인문대,19,단일전공,
S0058,사회대,25,단일전공,
S0121,,공과대,26,복수전공
S0044,,공과대,27,복수전공
S0165,,사회대,29,복수전공
S0024,자연대,25,단일전공,
S0256,,자연대,19,복수전공
S0232,자연대,24,단일전공,
S0012,,사회대,27,복수전공
S0008,,인문대,25,복수전공
S0255,,사회대,20,복수전공
S0265,,자연대,25,복수전공
S0279,,인문대,26,복수전공
S0280,,자연대,20,복수전공
S0047,사회대,20,단일전공,
S0096,사회대,24,단일전공,
S0129,인문대,24,단일전공,
S0173,,사회대,21,복수전공
S0179,자연대,28,단일전공,
S0241,,인문대,24,복수전공
S0042,자연대,21,단일전공,
S0236,인문대,29,단일전공,
S0287,,인문대,29,복수전공
S0077,,자연대,27,복수전공
S0111,자연대,21,단일전공,
S0251,,자연대,22,복수전공
S0158,,인문대,22,복수전공
S0194,공과대,21,단일전공,
S0133,,사회대,25,복수전공
S0139,자연대,24,단일전공,
S0004,,자연대,29,복수전공
S0071,,사회대,22,복수전공
S0201,공과대,21,단일전공,
S0085,사회대,29,단일전공,
S0193,인문대,22,단일전공,
S0199,공과대,25,단일전공,
S0076,자연대,28,단일전공,
S0138,사회대,27,단일전공,
S0170,공과대,27,단일전공,
S0069,공과대,19,단일전공,
S0228,,사회대,24,복수전공
S0059,,인문대,24,복수전공
S0029,,자연대,29,복수전공
S0075,사회대,26,단일전공,
S0034,공과대,23,단일전공,
S0220,,인문대,20,복수전공
S0078,사회대,25,단일전공,
S0260,자연대,19,단일전공,
S0112,,사회대,20,복수전공
S0184,공과대,28,단일전공,
S0006,,인문대,22,복수전공
S0162,,인문대,28,복수전공
S0304,,인문대,26,복수전공
S0068,공과대,20,단일전공,
S0209,자연대,19,단일전공,
S0185,,사회대,24,복수전공
S0208,자연대,23,단일전공,
S0246,,자연대,22,복수전공
S0297,,사회대,24,복수전공
S0066,,사회대,24,복수전공
S0105,공과대,22,단일전공,
S0035,,사회대,22,복수전공
S0305,공과대,23,단일전공,
S0284,,인문대,23,복수전공
S0106,자연대,28,단일전공,
S0278,,사회대,23,복수전공
S0309,,사회대,19,복수전공
S0110,사회대,19,단일전공,
S0215,,자연대,23,복수전공
S0168,사회대,20,단일전공,
S0261,공과대,29,단일전공,
S0025,자연대,29,단일전공,
S0203,공과대,25,단일전공,
S0275,,사회대,24,복수전공
S0263,,사회대,27,복수전공
S0243,사회대,25,단일전공,
S0130,,사회대,28,복수전공
S0252,,인문대,22,복수전공
S0049,인문대,28,단일전공,
S0021,,자연대,19,복수전공
S0253,사회대,29,단일전공,
S0002,,인문대,19,복수전공
S0125,사회대,29,단일전공,
S0301,,공과대,21,복수전공
S0018,자연대,26,단일전공,
S0221,공과대,28,단일전공,
S0259,사회대,27,단일전공,
S0196,,공과대,29,복수전공
S0154,공과대,26,단일전공,
S0286,,자연대,19,복수전공
S0115,,인문대,26,복수전공
S0281,공과대,19,단일전공,
S0244,자연대,21,단일전공,
S0186,,사회대,22,복수전공
S0123,사회대,20,단일전공,
S0030,자연대,23,단일전공,
S0132,자연대,29,단일전공,
S0038,자연대,23,단일전공,
S0116,,자연대,19,복수전공
S0103,자연대,19,단일전공,
S0052,자연대,20,단일전공,
S0156,,인문대,27,복수전공
S0176,자연대,20,단일전공,
S0095,,사회대,27,복수전공
S0234,공과대,25,단일전공,
S0104,,자연대,20,복수전공
S0070,,사회대,28,복수전공
S0005,사회대,25,단일전공,
S0127,공과대,20,단일전공,
S0274,공과대,24,단일전공,
S0295,공과대,28,단일전공,
S0171,인문대,27,단일전공,
S0045,,사회대,20,복수전공
S0060,인문대,23,단일전공,
S0067,사회대,24,단일전공,
S0219,,인문대,27,복수전공
S0211,자연대,29,단일전공,
S0072,인문대,24,단일전공,
S0175,사회대,29,단일전공,
S0237,공과대,22,단일전공,
S0137,,인문대,25,복수전공
S0249,공과대,27,단일전공,
S0054,자연대,20,단일전공,
S0089,,공과대,19,복수전공
S0187,자연대,20,단일전공,
S0107,인문대,19,단일전공,
S0312,인문대,23,단일전공,
S0316,공과대,20,단일전공,
S0099,,인문대,29,복수전공
S0007,인문대,23,단일전공,
S0212,사회대,28,단일전공,
S0020,공과대,25,단일전공,
S0267,,인문대,21,복수전공
S0027,,인문대,23,복수전공
S0161,,인문대,23,복수전공
S0302,자연대,22,단일전공,
S0063,,공과대,28,복수전공
S0143,,인문대,19,복수전공
S0120,자연대,20,단일전공,
S0178,,인문대,28,복수전공
S0248,,인문대,19,복수전공
S0064,공과대,27,단일전공,
S0289,공과대,27,단일전공,
S0097,공과대,24,단일전공,
S0172,,인문대,22,복수전공
S0318,공과대,24,단일전공,
S0053,자연대,20,단일전공,
S0017,,사회대,19,복수전공
S0195,공과대,27,단일전공,
S0238,,자연대,27,복수전공
S0270,,사회대,26,복수전공
S0262,공과대,29,단일전공,
S0218,자연대,23,단일전공,
S0093,,자연대,21,복수전공
S0015,,자연대,19,복수전공
S0032,인문대,24,단일전공,
S0148,,공과대,20,복수전공
S0254,,자연대,19,복수전공
S0298,,공과대,25,복수전공
S0299,자연대,25,단일전공,
S0051,인문대,25,단일전공,
S0266,,인문대,25,복수전공
S0216,,인문대,23,복수전공
S0169,자연대,27,단일전공,
S0086,,인문대,27,복수전공
S0135,,인문대,27,복수전공
S0043,,사회대,29,복수전공
S0247,공과대,27,단일전공,
S0189,,인문대,20,복수전공
S0082,공과대,26,단일전공,
S0277,자연대,22,단일전공,
S0033,자연대,28,단일전공,
S0142,인문대,20,단일전공,
S0276,사회대,27,단일전공,
S0308,,공과대,27,복수전공
S0224,공과대,22,단일전공,
S0229,,자연대,28,복수전공
S0079,사회대,29,단일전공,
S0288,자연대,20,단일전공,
S0022,공과대,21,단일전공,
S0183,,사회대,29,복수전공
S0227,공과대,21,단일전공,
S0188,사회대,27,단일전공,
S0272,,자연대,28,복수전공
S0273,,사회대,22,복수전공
S0319,,자연대,28,복수전공
